epoch,train_loss,test_loss,train_acc,train_macro_f1,test_acc,test_macro_f1,best_test_acc,mean_total_spikes,mean_spike_rate,mean_event_synops_est,mean_dense_synops_est,mean_event_to_dense_ratio,mean_input_events,latency_mean_all,latency_mean_correct,latency_std_correct,train_speed_samples_per_s,test_speed_samples_per_s,train_time_sec,test_time_sec,epoch_time_sec,train_latency_ms_per_sample,test_latency_ms_per_sample,train_cpu_memory_mb,test_cpu_memory_mb,train_gpu_memory_allocated_mb,train_gpu_memory_reserved_mb,test_gpu_memory_allocated_mb,test_gpu_memory_reserved_mb,lr,tau_mean,tau_response_mean,tau_refractory_mean
1,0.028892511527778372,0.01402620005607605,0.8186932425213675,0.8169508694894005,0.9343,0.933541597501906,0.9343,1021.468994140625,0.10113554447889328,1322622.0,14109999.0,0.09373649954795837,2005.4056396484375,2.2046000957489014,2.0040671825408936,1.5573467016220093,6233.454793996452,5898.687194222912,9.625480890274048,1.6952924728393555,11.323521137237549,0.16042468150456746,0.16952924728393554,1496.7265625,1655.47265625,75.271484375,108.0,64.49951171875,108.0,0.000999972584682756,2.189293622970581,nan,nan
2,0.014649338914781936,0.013120600041747093,0.9338274572649573,0.9331315656255208,0.9404,0.9401761155230297,0.9404,787.6298217773438,0.07798314094543457,1260579.625,14109999.0,0.08933945745229721,2005.4056396484375,2.2713000774383545,2.0997447967529297,1.4731554985046387,6642.19336756808,6882.925395579526,9.03316068649292,1.4528706073760986,10.489102363586426,0.15055267810821532,0.14528706073760986,1628.6171875,1702.37890625,75.89208984375,108.0,64.49951171875,108.0,0.0009998903417374227,2.411017338434855,nan,nan
3,0.013355301740841988,0.012669499841332435,0.9408386752136753,0.9402605686924854,0.9408,0.9400574684954119,0.9408,726.9730834960938,0.07197753340005875,1243309.375,14109999.0,0.08811547607183456,2005.4056396484375,2.193000078201294,2.0065901279449463,1.390244483947754,6476.4021298932,6753.010056006958,9.264403104782104,1.480821132659912,10.753394842147827,0.15440671841303508,0.14808211326599122,1690.79296875,1757.04296875,75.89208984375,108.0,64.49951171875,108.0,0.0009997532801828658,2.6586548487345376,nan,nan
4,0.012631827492752455,0.0138763000279665,0.9444778311965812,0.9439185102018804,0.9322,0.9323371787309227,0.9408,659.0238037109375,0.06524987518787384,1218697.625,14109999.0,0.08637119829654694,2005.4056396484375,2.3385000228881836,2.10856032371521,1.2828868627548218,6291.142858364225,6428.618613900841,9.537217855453491,1.555544137954712,11.095963716506958,0.15895363092422485,0.1555544137954712,1678.53515625,1754.33984375,75.89208984375,108.0,64.49951171875,108.0,0.0009995614150494292,2.958179235458374,nan,nan
5,0.012306106318600284,0.011334399792551995,0.9454961271367521,0.9450186157503152,0.9503,0.9501820409016025,0.9503,631.7116088867188,0.06254569441080093,1210298.125,14109999.0,0.08577591180801392,2005.4056396484375,2.313499927520752,2.1764705181121826,1.381354570388794,6382.623964620244,6830.546648405426,9.400522470474243,1.4640116691589355,10.867657899856567,0.15667537450790406,0.14640116691589355,1698.34765625,1713.34765625,75.89208984375,108.0,64.49951171875,108.0,0.000999314767377287,3.3306516806284585,nan,nan
6,0.011685463257579722,0.009916299825906754,0.9481169871794872,0.947651265886428,0.9612,0.9609395772479508,0.9612,607.4210815429688,0.0601406991481781,1203688.25,14109999.0,0.08530744910240173,2005.4056396484375,2.3197999000549316,2.2128589153289795,1.2088629007339478,6064.417987113396,6766.226555046539,9.893777132034302,1.477928638458252,11.374925136566162,0.16489628553390503,0.14779286384582518,1704.2109375,1716.9453125,75.89208984375,108.0,64.49951171875,108.0,0.0009990133642141358,3.784463087717692,nan,nan
7,0.011342330896454807,0.00982899975180626,0.9494023771367521,0.9489104608807623,0.959,0.9585799137451833,0.9612,606.7548828125,0.06007474288344383,1200324.5,14109999.0,0.08506906777620316,2005.4056396484375,2.18530011177063,2.0625650882720947,1.1828837394714355,6250.405834640415,6628.089368107895,9.599376678466797,1.508730411529541,11.111052751541138,0.15998961130777994,0.1508730411529541,1658.625,1710.63671875,75.89208984375,108.0,64.49951171875,108.0,0.000998657238612229,4.326081832249959,nan,nan
8,0.010981904163670082,0.01002989982664585,0.9521067040598291,0.9516941440416258,0.9589,0.9586252845375102,0.9612,568.9683837890625,0.056333500891923904,1189418.25,14109999.0,0.08429611474275589,2005.4056396484375,2.28410005569458,2.1618521213531494,1.1972439289093018,6226.4177972385005,6783.266567582735,9.636359453201294,1.4742159843444824,11.113726377487183,0.16060599088668823,0.14742159843444824,1676.9765625,1684.22265625,75.89208984375,108.0,64.49951171875,108.0,0.0009982464296247522,4.973897616068522,nan,nan
9,0.010796190364859425,0.010300799888372422,0.9522736378205128,0.9518363367215457,0.955,0.9549272814256756,0.9612,574.3096923828125,0.05686234310269356,1186628.5,14109999.0,0.08409839123487473,2005.4056396484375,2.3571999073028564,2.220628261566162,1.138021469116211,6355.89524393059,6922.394915626843,9.440054893493652,1.4445867538452148,10.887484788894653,0.1573342482248942,0.14445867538452148,1651.0546875,1732.7734375,75.89208984375,108.0,64.49951171875,108.0,0.00099778098230154,5.736567974090576,nan,nan
10,0.010489482914185168,0.01033309977799654,0.9556790865384616,0.9552856433799457,0.9537,0.9531489718788017,0.9612,558.9119873046875,0.055337823927402496,1181626.875,14109999.0,0.08374392986297607,2005.4056396484375,2.4340999126434326,2.3122575283050537,1.141829490661621,6186.843893965713,7033.8586823455225,9.697998046875,1.4216947555541992,11.122974395751953,0.16163330078125,0.14216947555541992,1693.25,1691.41796875,75.89208984375,108.0,64.49951171875,108.0,0.0009972609476841367,6.643882115681966,nan,nan
11,0.010584301294352954,0.009869099700450898,0.9535590277777778,0.953122546870351,0.9593,0.9588399124789374,0.9612,549.92431640625,0.054447948932647705,1179411.625,14109999.0,0.0835869312286377,2005.4056396484375,2.408600091934204,2.2856249809265137,1.0333431959152222,6174.6137833771545,6475.186503194209,9.717206954956055,1.5443570613861084,11.264845609664917,0.16195344924926758,0.15443570613861085,1692.8984375,1715.52734375,75.89208984375,108.0,64.49951171875,108.0,0.0009966863828001983,7.707770188649495,nan,nan
