epoch,train_loss,test_loss,train_acc,train_macro_f1,test_acc,test_macro_f1,best_test_acc,mean_total_spikes,mean_spike_rate,mean_event_synops_est,mean_dense_synops_est,mean_event_to_dense_ratio,mean_input_events,latency_mean_all,latency_mean_correct,latency_std_correct,train_speed_samples_per_s,test_speed_samples_per_s,train_time_sec,test_time_sec,epoch_time_sec,train_latency_ms_per_sample,test_latency_ms_per_sample,train_cpu_memory_mb,test_cpu_memory_mb,train_gpu_memory_allocated_mb,train_gpu_memory_reserved_mb,test_gpu_memory_allocated_mb,test_gpu_memory_reserved_mb,lr,tau_mean,tau_response_mean,tau_refractory_mean
1,0.04485914178797577,0.037537700307369234,0.8447682959401709,0.8415157735564966,0.9124,0.9111285676513387,0.9124,1124.7884521484375,0.1113651841878891,1356440.375,14109999.0,0.09613325446844101,2005.4056396484375,2.02020001411438,1.8072117567062378,1.2313441038131714,3849.8360090869983,5206.611395842982,15.585079431533813,1.9206349849700928,17.51008105278015,0.2597513238588969,0.19206349849700927,1530.734375,1661.2421875,77.00830078125,110.0,65.51513671875,110.0,0.000999972584682756,nan,2.183508316675822,8.739627838134766
2,0.03433819127101929,0.030238100039958953,0.908470219017094,0.907308828340328,0.9032,0.9006537806572513,0.9124,1010.3121948242188,0.10003090649843216,1319765.75,14109999.0,0.09353406727313995,2005.4056396484375,2.0097999572753906,1.8035871982574463,1.2020964622497559,3657.581047394594,5410.936937611026,16.404284477233887,1.8481087684631348,18.256815671920776,0.27340474128723147,0.18481087684631348,1639.08203125,1690.484375,77.62890625,110.0,65.51513671875,110.0,0.0009998903417374227,nan,2.4230833848317466,7.548032760620117
3,0.023420839998313885,0.015418400192260743,0.925514155982906,0.9247834395460138,0.9442,0.9435513457351317,0.9442,798.35791015625,0.07904534041881561,1256219.0,14109999.0,0.08903039246797562,2005.4056396484375,2.0596001148223877,1.8816988468170166,1.4848973751068115,3608.1082958496872,5315.0914974710795,16.629212617874146,1.8814351558685303,18.515058040618896,0.27715354363123573,0.18814351558685302,1656.97265625,1690.73046875,77.62890625,110.0,65.51513671875,110.0,0.0009997532801828658,nan,2.727786143620809,6.549007415771484
4,0.013620526081102336,0.01239709986448288,0.9467982104700855,0.9463709460879765,0.9481,0.9475863726833176,0.9481,661.3109741210938,0.06547633558511734,1212496.25,14109999.0,0.0859317034482956,2005.4056396484375,1.9535000324249268,1.7781879901885986,1.429292917251587,3765.141105581887,5173.749012414741,15.935657739639282,1.9328343868255615,17.87284278869629,0.2655942956606547,0.19328343868255615,1650.375,1756.3671875,77.62890625,110.0,65.51513671875,110.0,0.0009995614150494292,nan,2.963597615559896,6.061189651489258
5,0.011266342686632505,0.010229599924385548,0.9518563034188035,0.9514826453988364,0.9529,0.9526778576338932,0.9529,596.809326171875,0.0590900257229805,1195828.375,14109999.0,0.08475042134523392,2005.4056396484375,2.0332999229431152,1.8926434516906738,1.3456621170043945,3817.273777621239,4789.39822387181,15.718023777008057,2.087944984436035,17.81045365333557,0.2619670629501343,0.2087944984436035,1645.2265625,1692.8203125,77.62890625,110.0,65.51513671875,110.0,0.000999314767377287,nan,3.1462950706481934,5.8033982912699384
6,0.01010177941280457,0.008686799889802933,0.9549779647435898,0.9546479175223987,0.9596,0.9593326199816279,0.9596,546.2780151367188,0.05408693104982376,1177905.875,14109999.0,0.08348021656274796,2005.4056396484375,2.052799940109253,1.9439349174499512,1.2393707036972046,3614.7249117075075,5462.72960132909,16.59877347946167,1.8305866718292236,18.433430194854736,0.2766462246576945,0.18305866718292235,1659.09765625,1700.6171875,77.62890625,110.0,65.51513671875,110.0,0.0009990133642141358,nan,3.3091887633005777,5.631430387496948
7,0.009417467734688876,0.009122299872338771,0.9565137553418803,0.956156151441224,0.9585,0.9584017329418166,0.9596,512.5341186523438,0.050745945423841476,1165811.25,14109999.0,0.08262305706739426,2005.4056396484375,1.9766000509262085,1.8634324073791504,1.1840635538101196,3783.640408335325,5085.439867152816,15.857743740081787,1.9663982391357422,17.828688859939575,0.2642957290013631,0.1966398239135742,1703.70703125,1726.37890625,77.62890625,110.0,65.51513671875,110.0,0.000998657238612229,nan,3.462763786315918,5.503815571467082
8,0.0089963940026947,0.0088594996586442,0.9572315705128205,0.9569123159435193,0.9595,0.9591380913203595,0.9596,489.13250732421875,0.04842895641922951,1162059.125,14109999.0,0.08235713094472885,2005.4056396484375,2.1531999111175537,2.0524232387542725,1.1848721504211426,3321.7333640262973,5161.184894599606,18.06285858154297,1.9375395774841309,20.00505042076111,0.3010476430257161,0.19375395774841309,1680.80078125,1686.16796875,77.62890625,110.0,65.51513671875,110.0,0.0009982464296247522,nan,3.6129744052886963,5.40188193321228
9,0.00875657694772459,0.008336099630594253,0.9574318910256411,0.9570873716447256,0.9606,0.9605490158031789,0.9606,463.5003967285156,0.045891132205724716,1154357.0,14109999.0,0.08181127160787582,2005.4056396484375,2.2616000175476074,2.1750988960266113,1.1713262796401978,3518.628461862602,4864.498622985073,17.052098751068115,2.0557103157043457,19.112998962402344,0.2842016458511353,0.20557103157043458,1677.421875,1677.40234375,77.62890625,110.0,65.51513671875,110.0,0.00099778098230154,nan,3.76547900835673,5.316295226414998
10,0.008449869491080316,0.008152299623191356,0.9594851762820513,0.9591642564396695,0.9593,0.959064466270281,0.9606,447.0877990722656,0.04426611587405205,1150040.0,14109999.0,0.08150531351566315,2005.4056396484375,2.190700054168701,2.0869383811950684,1.021579623222351,3673.859653200172,3797.6170729357636,16.33159828186035,2.633230209350586,18.96964931488037,0.2721933046976725,0.2633230209350586,1667.9140625,1706.73046875,77.62890625,110.0,65.51513671875,110.0,0.0009972609476841367,nan,3.9208572705586753,5.243297894795735
11,0.008526775859093342,0.009980499765276908,0.9576322115384616,0.9572530361313631,0.95,0.9497076188777933,0.9606,435.9208984375,0.043160486966371536,1142629.125,14109999.0,0.0809800997376442,2005.4056396484375,2.304800033569336,2.1948421001434326,1.0408674478530884,3294.3351713241027,4115.163641936463,18.213083028793335,2.430037021636963,20.647632122039795,0.3035513838132223,0.2430037021636963,1640.9765625,1688.09375,77.62890625,110.0,65.51513671875,110.0,0.0009966863828001983,nan,4.075824022293091,5.182020425796509
12,0.008463007141238986,0.007223699581623077,0.9564803685897436,0.9561060274180726,0.9642,0.9639090572754508,0.9642,432.8291931152344,0.04285437613725662,1144052.875,14109999.0,0.08108098804950714,2005.4056396484375,2.246000051498413,2.1754822731018066,1.0222115516662598,3233.379170052085,5067.363626335961,18.556437969207764,1.9734127521514893,20.53385043144226,0.30927396615346275,0.19734127521514894,1640.39453125,1733.32421875,77.62890625,110.0,65.51513671875,110.0,0.0009960573506572392,nan,4.228355964024861,5.130169947942098
13,0.008481887308482686,0.007360799607634545,0.9576822916666666,0.9573450030797332,0.9643,0.963977968019216,0.9643,418.3810119628906,0.04142386093735695,1139267.0,14109999.0,0.08074180781841278,2005.4056396484375,2.2195000648498535,2.1356425285339355,0.9790176153182983,3563.2825841186445,4924.754986540096,16.838406324386597,2.030557870864868,18.873191118240356,0.2806401054064433,0.2030557870864868,1650.51171875,1702.98828125,77.62890625,110.0,65.51513671875,110.0,0.000995373920235722,nan,4.383861303329468,5.084770441055298
14,0.008343182082295928,0.008242799654603004,0.9571814903846154,0.9568536311293444,0.9586,0.9585333867901447,0.9643,414.4516906738281,0.041034821420907974,1136741.375,14109999.0,0.08056281507015228,2005.4056396484375,2.27620005607605,2.1805758476257324,1.0280046463012695,3288.450620875475,4527.7438065677325,18.24567461013794,2.2086055278778076,20.459304094314575,0.30409457683563235,0.22086055278778077,1639.98828125,1690.49609375,77.62890625,110.0,65.51513671875,110.0,0.0009946361664814943,nan,4.5412319501241045,5.044344822565715
15,0.008607287945436776,0.009385799646377563,0.9564469818376068,0.9561196587032195,0.9468,0.9461083126118023,0.9643,409.4056091308594,0.040535204112529755,1133015.75,14109999.0,0.0802987813949585,2005.4056396484375,2.183000087738037,2.0734052658081055,0.9539449214935303,3278.90473236323,4029.455742029,18.29879331588745,2.481724739074707,20.784509658813477,0.3049798885981242,0.24817247390747071,1642.12109375,1721.37890625,77.62890625,110.0,65.51513671875,110.0,0.000993844170297569,nan,4.698326349258423,5.009807586669922
16,0.008240167200804139,0.0070711994707584385,0.9579660790598291,0.957579995360802,0.9681,0.9678934880664236,0.9681,400.5299072265625,0.03965642675757408,1129308.25,14109999.0,0.08003602176904678,2005.4056396484375,2.24780011177063,2.1813862323760986,1.0152990818023682,3205.873063965755,4086.289873876851,18.71565055847168,2.4472076892852783,21.178693532943726,0.31192750930786134,0.24472076892852784,1723.09765625,1714.21484375,77.62890625,110.0,65.51513671875,110.0,0.0009929980185352527,nan,4.857886552810669,4.9787187576293945
17,0.008205378231588496,0.007493099631369114,0.9583333333333334,0.9579776167741224,0.9602,0.9598830361374133,0.9681,394.7016906738281,0.03907937556505203,1125647.0,14109999.0,0.07977654039859772,2005.4056396484375,2.156100034713745,2.072693109512329,0.9205730557441711,3227.474523664597,3611.2683380845824,18.590386867523193,2.7691102027893066,21.372368812561035,0.30983978112538657,0.27691102027893066,1703.60546875,1736.2890625,77.62890625,110.0,65.51513671875,110.0,0.000992097803984621,nan,5.020200490951538,4.950963179270427
18,0.008462673210355843,0.006963999572396278,0.955345219017094,0.9548877497732894,0.9637,0.9633864604276946,0.9681,396.17999267578125,0.0392257422208786,1126521.375,14109999.0,0.07983849942684174,2005.4056396484375,2.2242000102996826,2.161461114883423,0.9265192747116089,3210.9404751702014,4281.359887545382,18.686114072799683,2.3357064723968506,21.026730060577393,0.3114352345466614,0.23357064723968507,1725.56640625,1714.12890625,77.62890625,110.0,65.51513671875,110.0,0.0009911436253643446,nan,5.17860476175944,4.927011092503865
19,0.0083378735366556,0.008706499776244164,0.9559127938034188,0.955536489458372,0.953,0.9526756907148599,0.9681,393.7759094238281,0.03898771479725838,1123277.25,14109999.0,0.07960859686136246,2005.4056396484375,2.2743000984191895,2.1777544021606445,0.9846078753471375,3035.2350485526426,4458.6710934071725,19.767826557159424,2.2428207397460938,22.01521110534668,0.3294637759526571,0.22428207397460936,1695.890625,1712.67578125,77.62890625,110.0,65.51513671875,110.0,0.0009901355873108612,nan,5.335654815038045,4.906089981396993
20,0.008275907719010312,0.008453199605643748,0.9564469818376068,0.9560659040204589,0.952,0.9511519486531125,0.9681,395.5483093261719,0.039163194596767426,1122178.5,14109999.0,0.07953071594238281,2005.4056396484375,2.2467000484466553,2.1629202365875244,1.0294156074523926,3049.3040877427334,4154.809626136831,19.676620721817017,2.4068491458892822,22.088306665420532,0.3279436786969503,0.2406849145889282,1678.98046875,1685.203125,77.62890625,110.0,65.51513671875,110.0,0.000989073800366903,nan,5.493747711181641,4.887337565422058
21,0.008418352312794449,0.0072937996193766595,0.954811030982906,0.9543974803515326,0.9638,0.9633603211426814,0.9681,394.64581298828125,0.03907383978366852,1121975.125,14109999.0,0.07951629906892776,2005.4056396484375,2.188199996948242,2.1121602058410645,0.9104859828948975,3263.3087677055123,4105.604870143472,18.38624668121338,2.435694694519043,20.827624082565308,0.30643744468688966,0.2435694694519043,1669.58984375,1694.36328125,77.62890625,110.0,65.51513671875,110.0,0.0009879583809693738,nan,5.651870965957642,4.870695312817891
22,0.00853498891626811,0.008309599533677102,0.9541099091880342,0.9537244152616589,0.9547,0.9541962599965148,0.9681,384.61981201171875,0.03808116912841797,1119595.375,14109999.0,0.0793476477265358,2005.4056396484375,2.190999984741211,2.0992982387542725,0.8790870904922485,3145.067103461546,4357.191051680498,19.077494382858276,2.2950565814971924,21.37677025794983,0.3179582397143046,0.22950565814971924,1646.421875,1700.48046875,77.62890625,110.0,65.51513671875,110.0,0.0009867894514365802,nan,5.805947303771973,4.855984369913737
23,0.008123981308701456,0.008616499751433731,0.957298344017094,0.9568787613643227,0.9577,0.9576348014585069,0.9681,389.5563049316406,0.03856993094086647,1118005.5,14109999.0,0.07923498749732971,2005.4056396484375,2.18149995803833,2.079461097717285,0.9311996102333069,3185.6182721840605,4103.4057658162155,18.834648370742798,2.437000036239624,21.274738073349,0.31391080617904665,0.2437000036239624,1641.86328125,1691.28515625,77.62890625,110.0,65.51513671875,110.0,0.0009855671399548183,nan,5.967606385548909,4.841842492421468
24,0.008388771661597058,0.007679399600625038,0.9555455395299145,0.9551342756118716,0.9595,0.9591078880947078,0.9681,380.10528564453125,0.03763418644666672,1114036.125,14109999.0,0.07895366102457047,2005.4056396484375,2.218899965286255,2.1404898166656494,0.902005136013031,3118.653139883948,4646.735749630664,19.23907446861267,2.152048349380493,21.395939111709595,0.32065124114354454,0.21520483493804932,1646.03515625,1693.5234375,77.62890625,110.0,65.51513671875,110.0,0.0009842915805643158,nan,6.124049027760823,4.829820076624553
