epoch,train_loss,test_loss,train_acc,train_macro_f1,test_acc,test_macro_f1,best_test_acc,mean_total_spikes,mean_spike_rate,mean_event_synops_est,mean_dense_synops_est,mean_event_to_dense_ratio,mean_input_events,latency_mean_all,latency_mean_correct,latency_std_correct,train_speed_samples_per_s,test_speed_samples_per_s,train_time_sec,test_time_sec,epoch_time_sec,train_latency_ms_per_sample,test_latency_ms_per_sample,train_cpu_memory_mb,test_cpu_memory_mb,train_gpu_memory_allocated_mb,train_gpu_memory_reserved_mb,test_gpu_memory_allocated_mb,test_gpu_memory_reserved_mb,lr,tau_mean,tau_response_mean,tau_refractory_mean
1,0.04677635950283108,0.04229110026955604,0.8438000801282052,0.8404518366815612,0.9015,0.8997485295491103,0.9015,1019.5681762695312,0.10094734281301498,1334065.0,14109999.0,0.09454748034477234,2005.4056396484375,2.274899959564209,2.0775375366210938,1.317184567451477,5893.718412905099,6344.862932000676,10.180330276489258,1.576078176498413,11.758758783340454,0.16967217127482095,0.1576078176498413,1475.73828125,1607.984375,68.87158203125,100.0,65.47998046875,100.0,0.000999972584682756,nan,nan,nan
2,0.04145234085332889,0.040594200068712234,0.8959668803418803,0.8943121396017112,0.8935,0.8908120290154622,0.9015,1009.580078125,0.09995841979980469,1324882.375,14109999.0,0.09389670193195343,2005.4056396484375,2.213099956512451,2.0237269401550293,1.2885345220565796,6188.117379124378,6918.123493573984,9.69600224494934,1.4454786777496338,11.144083976745605,0.16160003741582235,0.14454786777496337,1588.66015625,1634.80859375,69.4921875,100.0,65.47998046875,100.0,0.0009998903417374227,nan,nan,nan
3,0.0395024207731088,0.03743080013394356,0.9025607638888888,0.90119416473713,0.9112,0.9097304734182602,0.9112,1002.52001953125,0.0992593988776207,1320579.5,14109999.0,0.09359174966812134,2005.4056396484375,2.1238999366760254,1.955004334449768,1.2882238626480103,6075.820717756791,6619.433367701179,9.875209093093872,1.5107033252716064,11.388265132904053,0.1645868182182312,0.15107033252716065,1602.08203125,1645.2421875,69.4921875,100.0,65.47998046875,100.0,0.0009997532801828658,nan,nan,nan
4,0.038153629359972276,0.03768949997425079,0.9061999198717948,0.9050249719450834,0.904,0.9022157806605048,0.9112,965.2628784179688,0.09557057917118073,1300973.375,14109999.0,0.09220223128795624,2005.4056396484375,1.9563000202178955,1.774336338043213,1.2304060459136963,6288.993230251033,6674.203907452019,9.540477752685547,1.4983060359954834,11.041342496871948,0.1590079625447591,0.14983060359954833,1603.921875,1642.37109375,69.4921875,100.0,65.47998046875,100.0,0.0009995614150494292,nan,nan,nan
5,0.03730724193951768,0.035425499522686005,0.9085870726495726,0.9074617154163122,0.9154,0.9145841395217591,0.9154,949.7626953125,0.09403591603040695,1290867.75,14109999.0,0.09148602187633514,2005.4056396484375,1.8388999700546265,1.6722744703292847,1.1621264219284058,6181.131760712337,6893.913743238899,9.706960201263428,1.4505548477172852,11.16012191772461,0.16178267002105712,0.14505548477172853,1586.7578125,1623.87109375,69.4921875,100.0,65.47998046875,100.0,0.000999314767377287,nan,nan,nan
6,0.036560880999343515,0.034919600051641464,0.9098390758547008,0.9087449388011544,0.9235,0.9227356975761236,0.9235,923.3682250976562,0.09142258763313293,1277769.25,14109999.0,0.09055770933628082,2005.4056396484375,1.777500033378601,1.6046562194824219,1.112297773361206,5976.770941299795,6248.692138049438,10.038865566253662,1.600334882736206,11.641668319702148,0.1673144261042277,0.1600334882736206,1597.51171875,1650.1328125,69.4921875,100.0,65.47998046875,100.0,0.0009990133642141358,nan,nan,nan
7,0.03612247948001465,0.03490619974732399,0.9107739049145299,0.9097838336784463,0.9269,0.926305340080243,0.9269,900.4575805664062,0.0891542136669159,1267117.5,14109999.0,0.0898028090596199,2005.4056396484375,1.8223999738693237,1.6657676696777344,1.1408777236938477,6137.550477352388,6918.45898784376,9.77588701248169,1.445408582687378,11.223783731460571,0.16293145020802816,0.1445408582687378,1624.0546875,1649.609375,69.4921875,100.0,65.47998046875,100.0,0.000998657238612229,nan,nan,nan
8,0.035581630606872916,0.03574520016312599,0.9136952457264957,0.9126479477273153,0.9224,0.9214634128357717,0.9269,879.7382202148438,0.08710278570652008,1259510.0,14109999.0,0.08926364034414291,2005.4056396484375,1.9657000303268433,1.8179748058319092,1.1990429162979126,6064.094159660094,6585.819061690866,9.89430546760559,1.51841402053833,11.42154836654663,0.16490509112675986,0.151841402053833,1650.3671875,1636.12109375,69.4921875,100.0,65.47998046875,100.0,0.0009982464296247522,nan,nan,nan
9,0.034655749133159205,0.03289479963183403,0.9156650641025641,0.9147200057531879,0.9312,0.9304318511750769,0.9312,887.2669067382812,0.08784820884466171,1258040.625,14109999.0,0.08915950357913971,2005.4056396484375,1.780500054359436,1.641430377960205,1.1373528242111206,6028.476522230312,6104.097147363676,9.952763319015503,1.6382439136505127,11.593322038650513,0.1658793886502584,0.16382439136505128,1602.6171875,1650.2578125,69.4921875,100.0,65.47998046875,100.0,0.00099778098230154,nan,nan,nan
1,0.04677635950283108,0.04229110026955604,0.8438000801282052,0.8404518366815612,0.9015,0.8997485295491103,0.9015,1019.5681762695312,0.10094734281301498,1334065.0,14109999.0,0.09454748034477234,2005.4056396484375,2.274899959564209,2.0775375366210938,1.317184567451477,5410.06126228881,5835.0175844722435,11.090447425842285,1.7137908935546875,12.806555986404419,0.18484079043070475,0.17137908935546875,1475.609375,1607.93359375,68.87158203125,100.0,65.47998046875,100.0,0.000999972584682756,nan,nan,nan
