epoch,train_loss,test_loss,train_acc,train_macro_f1,test_acc,test_macro_f1,best_test_acc,mean_total_spikes,mean_spike_rate,mean_event_synops_est,mean_dense_synops_est,mean_event_to_dense_ratio,mean_input_events,latency_mean_all,latency_mean_correct,latency_std_correct,train_speed_samples_per_s,test_speed_samples_per_s,train_time_sec,test_time_sec,epoch_time_sec,train_latency_ms_per_sample,test_latency_ms_per_sample,train_cpu_memory_mb,test_cpu_memory_mb,train_gpu_memory_allocated_mb,train_gpu_memory_reserved_mb,test_gpu_memory_allocated_mb,test_gpu_memory_reserved_mb,lr,tau_mean,tau_response_mean,tau_refractory_mean
1,0.02860595228580328,0.015312187768518925,0.8210303151709402,0.8177835616748599,0.9206,0.9200051691273636,0.9206,1009.5711059570312,0.12494691461324692,1259211.375,11287999.0,0.11155310273170471,1846.676025390625,1.8205000162124634,1.6556593179702759,1.3239402770996094,4872.674400356839,4590.399471518494,12.313566446304321,2.178459644317627,14.497997999191284,0.20522610743840536,0.21784596443176268,1746.16796875,1957.53515625,63.8681640625,86.0,59.96337890625,86.0,0.0009997532801828658,2.1885010401407876,nan,nan
2,0.014456124809116889,0.013273125205934048,0.9325253739316239,0.9317438878635758,0.9388,0.9383271611233752,0.9388,758.631591796875,0.09389004856348038,1198652.25,11287999.0,0.10618818551301956,1846.676025390625,1.9644999504089355,1.8249893188476562,1.2042858600616455,5277.596912087195,5696.182951286227,11.368810653686523,1.7555615901947021,13.127139806747437,0.18948017756144206,0.17555615901947022,1927.04296875,1993.640625,64.365234375,86.0,59.96337890625,86.0,0.0009990133642141358,2.4177821477254233,nan,nan
3,0.013235317358078483,0.012740312758088112,0.9389857104700855,0.9383401363290105,0.9385,0.937417933503,0.9388,718.005615234375,0.08886207640171051,1185548.875,11287999.0,0.10502734035253525,1846.676025390625,1.8955999612808228,1.7582311630249023,1.2293007373809814,4910.343076085895,5639.3093489584035,12.21910548210144,1.7732667922973633,14.000515699386597,0.203651758035024,0.17732667922973633,1996.1328125,1989.7265625,64.365234375,86.0,59.96337890625,86.0,0.00099778098230154,2.684269110361735,nan,nan
4,0.012609654824591728,0.011985156485438346,0.9415231036324786,0.9409166331568093,0.9429,0.9422029726708606,0.9429,671.6990966796875,0.0831310823559761,1166776.875,11287999.0,0.10336435586214066,1846.676025390625,1.8695000410079956,1.721285343170166,1.1051195859909058,4941.390624962263,5157.623199112864,12.142330884933472,1.9388775825500488,14.086338758468628,0.20237218141555785,0.19388775825500487,1953.69921875,1991.62890625,64.365234375,86.0,59.96337890625,86.0,0.000996057350657239,3.001945654551188,nan,nan
5,0.012339065600640308,0.010906875175237656,0.9427584134615384,0.942191244478666,0.9525,0.9522827696390254,0.9525,639.3095703125,0.07912247627973557,1156665.5,11287999.0,0.1024685949087143,1846.676025390625,1.9134000539779663,1.7937008142471313,1.1496717929840088,4943.884087168952,5534.618017636654,12.136206865310669,1.806809425354004,13.952109813690186,0.20227011442184448,0.1806809425354004,1980.76953125,1980.3125,64.365234375,86.0,59.96337890625,86.0,0.0009938441702975688,3.383259375890096,nan,nan
6,0.011769638904250966,0.010209687657654285,0.9466479700854701,0.9461586016884957,0.9579,0.957628041346057,0.9579,614.4810791015625,0.07604964077472687,1149477.125,11287999.0,0.10183177143335342,1846.676025390625,1.98580002784729,1.888088583946228,1.0460745096206665,4950.678476482667,5159.228907399045,12.119550943374634,1.9382741451263428,14.060510396957397,0.20199251572291058,0.19382741451263427,1972.4921875,2008.5234375,64.365234375,86.0,59.96337890625,86.0,0.0009911436253643444,3.8451839288075766,nan,nan
7,0.011602679062555106,0.010019062615931034,0.9475160256410257,0.9469824277331002,0.9549,0.954803413291015,0.9579,605.697998046875,0.07496262341737747,1142001.5,11287999.0,0.10116952657699585,1846.676025390625,1.836899995803833,1.7150486707687378,1.0324937105178833,5071.5805008195575,5933.01917298519,11.830631494522095,1.6854825019836426,13.536468982696533,0.19717719157536825,0.16854825019836425,1991.578125,2012.9375,64.365234375,86.0,59.96337890625,86.0,0.0009879583809693736,4.393354733784993,nan,nan
8,0.010992614418053282,0.010098437687754631,0.9507044604700855,0.9502603521689605,0.955,0.9546114319155692,0.9579,589.7030029296875,0.0729830414056778,1136335.625,11287999.0,0.10066758096218109,1846.676025390625,1.9773000478744507,1.876649260520935,1.1061320304870605,4862.2207864773445,5155.488667166773,12.34004020690918,1.9396803379058838,14.28271198272705,0.20566733678181967,0.19396803379058838,1941.87890625,1943.91796875,64.365234375,86.0,59.96337890625,86.0,0.0009842915805643154,5.022430260976155,nan,nan
9,0.01100771668422808,0.010202968947589397,0.9503205128205128,0.9498369225101186,0.9521,0.9519224751314466,0.9579,581.6390991210938,0.07198503613471985,1133242.875,11287999.0,0.10039359331130981,1846.676025390625,1.9706000089645386,1.862829566001892,1.1142513751983643,4938.281934856961,5421.529564518829,12.149974584579468,1.8444979190826416,13.99735403060913,0.2024995764096578,0.18444979190826416,1949.87109375,2028.7890625,64.365234375,86.0,59.96337890625,86.0,0.0009801468428384714,5.768898328145345,nan,nan
10,0.0106580686978359,0.009657343953847885,0.9537426549145299,0.9533460102364849,0.9595,0.9590438549271478,0.9595,569.6472778320312,0.07050090283155441,1127352.5,11287999.0,0.09987176209688187,1846.676025390625,1.9509999752044678,1.8486711978912354,0.9944227337837219,5017.422036270556,5138.130853096982,11.958332300186157,1.9462330341339111,13.915610790252686,0.19930553833643597,0.19462330341339112,2001.85546875,2018.3203125,64.365234375,86.0,59.96337890625,86.0,0.0009755282581475767,6.6323472658793134,nan,nan
11,0.010831523328446425,0.010877812702953816,0.951171875,0.9506893598782844,0.9542,0.9537455145432727,0.9595,554.4484252929688,0.06861985474824905,1121193.875,11287999.0,0.09932617843151093,1846.676025390625,2.059799909591675,1.956717610359192,1.0782196521759033,4645.360533242239,5023.118562874251,12.916112661361694,1.9907951354980469,14.910294532775879,0.21526854435602824,0.1990795135498047,2008.375,2008.515625,64.365234375,86.0,59.96337890625,86.0,0.0009704403844771127,7.633048216501872,nan,nan
12,0.010527573458245423,0.009529531425237655,0.9530749198717948,0.9526801900949693,0.9614,0.9609916271531773,0.9614,552.7764892578125,0.06841293722391129,1122196.0,11287999.0,0.09941494464874268,1846.676025390625,2.0190999507904053,1.9414395093917847,1.055759310722351,4593.481274058746,4300.867012044118,13.061988592147827,2.3251125812530518,15.402415752410889,0.21769980986913046,0.23251125812530518,1998.20703125,2032.48046875,64.365234375,86.0,59.96337890625,86.0,0.0009648882429441257,8.761744340260824,nan,nan
