method,model,T,event_dense_ratio,ratio_col,csv_path,exists
BP,alif,2,0.2090103477239608,mean_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/NMNIST/v2/result/timestep/alif/T2/NMNIST_BP_alif_results.csv,True
BP,alif,4,0.1437438875436782,mean_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/NMNIST/v2/result/timestep/alif/T4/NMNIST_BP_alif_results.csv,True
BP,alif,8,0.0956227779388427,mean_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/NMNIST/v2/result/timestep/alif/T8/NMNIST_BP_alif_results.csv,True
BP,alif,10,0.0809670537710189,mean_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/NMNIST/v2/result/timestep/alif/T10/NMNIST_BP_alif_results.csv,True
BP,alif,16,0.060602031648159,mean_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/NMNIST/v2/result/timestep/alif/T16/NMNIST_BP_alif_results.csv,True
FF,alif,2,0.3617829978466034,mean_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/NMNIST/v2/result/timestep/alif/T2/NMNIST_alif_FF_compare.csv,True
FF,alif,4,0.2587432265281677,mean_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/NMNIST/v2/result/timestep/alif/T4/NMNIST_alif_FF_compare.csv,True
FF,alif,8,0.1712713539600372,mean_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/NMNIST/v2/result/timestep/alif/T8/NMNIST_alif_FF_compare.csv,True
FF,alif,10,0.1512989848852157,mean_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/NMNIST/v2/result/timestep/alif/T10/NMNIST_alif_FF_compare.csv,True
FF,alif,16,,,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/NMNIST/v2/result/timestep/alif/T16/NMNIST_alif_FF_compare.csv,False
