method,model,T,gpu_alloc_mb,gpu_reserved_mb,cpu_mb,csv_path,exists,batch_size,effective_sample_factor,effective_batch_size,gpu_reserved_mb_per_sample,gpu_alloc_mb_per_sample,gpu_reserved_mb_eq_target_batch,gpu_alloc_mb_eq_target_batch
BP,alif,2,48.2333984375,72.0,1821.66015625,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/NMNIST/v2/result/timestep/alif/T2/NMNIST_BP_alif_results.csv,True,128.0,1.0,128.0,0.5625,0.37682342529296875,72.0,48.2333984375
BP,alif,4,51.14404296875,76.0,1815.921875,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/NMNIST/v2/result/timestep/alif/T4/NMNIST_BP_alif_results.csv,True,128.0,1.0,128.0,0.59375,0.3995628356933594,76.0,51.14404296875
BP,alif,8,64.365234375,86.0,2002.7109375,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/NMNIST/v2/result/timestep/alif/T8/NMNIST_BP_alif_results.csv,True,128.0,1.0,128.0,0.671875,0.5028533935546875,86.0,64.365234375
BP,alif,10,71.34814453125,112.0,1890.31640625,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/NMNIST/v2/result/timestep/alif/T10/NMNIST_BP_alif_results.csv,True,128.0,1.0,128.0,0.875,0.5574073791503906,112.0,71.34814453125
BP,alif,16,93.9951171875,126.0,2094.79296875,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/NMNIST/v2/result/timestep/alif/T16/NMNIST_BP_alif_results.csv,True,128.0,1.0,128.0,0.984375,0.7343368530273438,126.0,93.9951171875
FF,alif,2,700.033203125,1012.0,1995.93359375,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/NMNIST/v2/result/timestep/alif/T2/NMNIST_alif_FF_compare.csv,True,4096.0,2.0,8192.0,0.12353515625,0.08545327186584473,15.8125,10.938018798828125
FF,alif,4,1347.03515625,2006.0,3402.0859375,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/NMNIST/v2/result/timestep/alif/T4/NMNIST_alif_FF_compare.csv,True,4096.0,2.0,8192.0,0.244873046875,0.16443300247192383,31.34375,21.04742431640625
FF,alif,8,2627.8515625,3290.0,5152.7109375,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/NMNIST/v2/result/timestep/alif/T8/NMNIST_alif_FF_compare.csv,True,4096.0,2.0,8192.0,0.401611328125,0.3207826614379883,51.40625,41.0601806640625
FF,alif,10,3270.220703125,4776.0,5488.34765625,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/NMNIST/v2/result/timestep/alif/T10/NMNIST_alif_FF_compare.csv,True,4096.0,2.0,8192.0,0.5830078125,0.3991968631744385,74.625,51.097198486328125
FF,alif,16,,,,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/NMNIST/v2/result/timestep/alif/T16/NMNIST_alif_FF_compare.csv,False,4096.0,2.0,8192.0,,,,
