method,model,T,gpu_alloc_mb,gpu_reserved_mb,cpu_mb,csv_path,exists
BP,alif,2,48.2333984375,72.0,1821.66015625,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/NMNIST/v2/result/timestep/alif/T2/NMNIST_BP_alif_results.csv,True
BP,alif,4,51.14404296875,76.0,1815.921875,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/NMNIST/v2/result/timestep/alif/T4/NMNIST_BP_alif_results.csv,True
BP,alif,8,64.365234375,86.0,2002.7109375,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/NMNIST/v2/result/timestep/alif/T8/NMNIST_BP_alif_results.csv,True
BP,alif,10,71.34814453125,112.0,1890.31640625,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/NMNIST/v2/result/timestep/alif/T10/NMNIST_BP_alif_results.csv,True
BP,alif,16,93.9951171875,126.0,2094.79296875,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/NMNIST/v2/result/timestep/alif/T16/NMNIST_BP_alif_results.csv,True
FF,alif,2,700.033203125,1012.0,1995.93359375,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/NMNIST/v2/result/timestep/alif/T2/NMNIST_alif_FF_compare.csv,True
FF,alif,4,1347.03515625,2006.0,3402.0859375,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/NMNIST/v2/result/timestep/alif/T4/NMNIST_alif_FF_compare.csv,True
FF,alif,8,2627.8515625,3290.0,5152.7109375,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/NMNIST/v2/result/timestep/alif/T8/NMNIST_alif_FF_compare.csv,True
FF,alif,10,3270.220703125,4776.0,5488.34765625,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/NMNIST/v2/result/timestep/alif/T10/NMNIST_alif_FF_compare.csv,True
FF,alif,16,,,,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/NMNIST/v2/result/timestep/alif/T16/NMNIST_alif_FF_compare.csv,False
