epoch,train_loss,test_loss,train_acc,train_macro_f1,test_acc,test_macro_f1,best_test_acc,mean_total_spikes,mean_spike_rate,mean_event_synops_est,mean_dense_synops_est,mean_event_to_dense_ratio,mean_input_events,latency_mean_all,latency_mean_correct,latency_std_correct,train_speed_samples_per_s,test_speed_samples_per_s,train_time_sec,test_time_sec,epoch_time_sec,train_latency_ms_per_sample,test_latency_ms_per_sample,train_cpu_memory_mb,test_cpu_memory_mb,train_gpu_memory_allocated_mb,train_gpu_memory_reserved_mb,test_gpu_memory_allocated_mb,test_gpu_memory_reserved_mb,lr,tau_mean,tau_response_mean,tau_refractory_mean
1,0.02467322763469484,0.019221875327825547,0.8800080128205128,0.8780447087878951,0.9208,0.919979823048353,0.9208,535.0278930664062,0.13243265450000763,916679.5,5643999.5,0.16241665184497833,1461.5631103515625,1.3974000215530396,1.294960856437683,0.6313974261283875,7878.062294915693,8585.963233697115,7.616086006164551,1.164691686630249,8.78322982788086,0.12693476676940918,0.1164691686630249,1544.46875,1724.046875,49.453125,72.0,50.513671875,74.0,0.0009997532801828658,nan,nan,nan
2,0.019813159741381675,0.02076875041425228,0.9195379273504274,0.9185209454791339,0.903,0.9029005139043396,0.9208,506.8373107910156,0.12545476853847504,910497.5,5643999.5,0.16132128238677979,1461.5631103515625,1.5634000301361084,1.469767451286316,0.7806665897369385,8551.340871926855,8071.763825838819,7.016443490982056,1.2388865947723389,8.25835919380188,0.11694072484970093,0.12388865947723389,1726.91015625,1739.15234375,49.70361328125,74.0,50.513671875,74.0,0.0009990133642141358,nan,nan,nan
3,0.019343136865486447,0.01766000030040741,0.9209067841880342,0.9199951828668013,0.9327,0.9316355587978469,0.9327,475.14520263671875,0.11761020869016647,899875.25,5643999.5,0.15943928062915802,1461.5631103515625,1.4187999963760376,1.3455559015274048,0.6561249494552612,9281.206708405467,6243.905227544375,6.46467661857605,1.6015617847442627,8.068920135498047,0.10774461030960084,0.16015617847442626,1730.546875,1761.4140625,49.70361328125,74.0,50.513671875,74.0,0.00099778098230154,nan,nan,nan
4,0.018968683579920702,0.018165000289678573,0.923561030982906,0.9227213582436157,0.9291,0.9285921359570105,0.9327,458.50390625,0.11349106580018997,895416.5,5643999.5,0.1586492657661438,1461.5631103515625,1.3554999828338623,1.2843612432479858,0.6353688836097717,8885.241149694551,7997.968045532865,6.7527711391448975,1.2503175735473633,8.005796670913696,0.11254618565241496,0.12503175735473632,1740.015625,1745.05859375,49.70361328125,74.0,50.513671875,74.0,0.000996057350657239,nan,nan,nan
5,0.018989863278121393,0.019408125323057173,0.9233607104700855,0.9225326983337115,0.917,0.9163433132903943,0.9327,439.18951416015625,0.10871028155088425,887949.3125,5643999.5,0.15732625126838684,1461.5631103515625,1.3762999773025513,1.2621592283248901,0.5969542264938354,9154.535984987999,7189.634375137667,6.554127931594849,1.3908913135528564,7.950355291366577,0.10923546552658081,0.13908913135528564,1714.171875,1754.9296875,49.70361328125,74.0,50.513671875,74.0,0.0009938441702975688,nan,nan,nan
6,0.018814895823438708,0.017196875298023225,0.9248798076923077,0.9240976073017177,0.9364,0.9355709571016657,0.9364,432.3743896484375,0.10702336579561234,885890.125,5643999.5,0.15696141123771667,1461.5631103515625,1.3288999795913696,1.2469030618667603,0.5941082239151001,9013.606357090377,9568.248674309609,6.656603097915649,1.0451233386993408,7.704427719116211,0.11094338496526082,0.10451233386993408,1728.6328125,1745.38671875,49.70361328125,74.0,50.513671875,74.0,0.0009911436253643444,nan,nan,nan
7,0.018758242717012763,0.01675687538385391,0.9254473824786325,0.9245722585257428,0.9356,0.9351529951777028,0.9364,409.4432067871094,0.10134733468294144,877215.0,5643999.5,0.1554243415594101,1461.5631103515625,1.3282999992370605,1.2389910221099854,0.5953015685081482,8883.5860145129,7270.952137927974,6.754029273986816,1.375335693359375,8.131995439529419,0.11256715456644693,0.1375335693359375,1731.04296875,1738.2734375,49.70361328125,74.0,50.513671875,74.0,0.0009879583809693736,nan,nan,nan
8,0.018562930170446634,0.019966250491142274,0.9270833333333334,0.9263300465406237,0.9253,0.9244262802771367,0.9364,401.46038818359375,0.09937138855457306,877051.5,5643999.5,0.15539537370204926,1461.5631103515625,1.4169000387191772,1.320976972579956,0.6777801513671875,8535.594059421051,6725.217030465879,7.029387712478638,1.486940860748291,8.518892049789429,0.11715646187464396,0.1486940860748291,1732.77734375,1747.84765625,49.70361328125,74.0,50.513671875,74.0,0.0009842915805643154,nan,nan,nan
9,0.01848927069391705,0.01746125035881996,0.9273170405982906,0.9265581034001139,0.9341,0.933697104744652,0.9364,416.1914978027344,0.10301770269870758,878494.125,5643999.5,0.15565097332000732,1461.5631103515625,1.2734999656677246,1.1786746978759766,0.5351164937019348,8648.111299214785,7870.672124321335,6.937931060791016,1.2705395221710205,8.211657047271729,0.11563218434651693,0.12705395221710206,1730.44921875,1753.8671875,49.70361328125,74.0,50.513671875,74.0,0.0009801468428384714,nan,nan,nan
10,0.018543106840095587,0.017540625351667404,0.9278178418803419,0.9270861349373885,0.9347,0.9335599307363717,0.9364,392.3139953613281,0.0971074253320694,870297.625,5643999.5,0.15419873595237732,1461.5631103515625,1.3242000341415405,1.2454262971878052,0.6208626627922058,7882.279527582361,6640.6464233987135,7.612011194229126,1.5058774948120117,9.120918273925781,0.1268668532371521,0.15058774948120118,1749.890625,1750.31640625,49.70361328125,74.0,50.513671875,74.0,0.0009755282581475767,nan,nan,nan
