run_name,model,cfg_path,out_dir,status
lif__id000__tau4__vth1__lr0p0003__ig1p5__wd0__h256__L2,lif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/lif__id000__tau4__vth1__lr0p0003__ig1p5__wd0__h256__L2.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id000__tau4__vth1__lr0p0003__ig1p5__wd0__h256__L2,DONE
lif__id001__tau4__vth0p3__lr0p0003__ig1p2__wd0__h256__L1,lif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/lif__id001__tau4__vth0p3__lr0p0003__ig1p2__wd0__h256__L1.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id001__tau4__vth0p3__lr0p0003__ig1p2__wd0__h256__L1,DONE
lif__id002__tau3__vth0p7__lr0p001__ig1p5__wd0__h256__L2,lif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/lif__id002__tau3__vth0p7__lr0p001__ig1p5__wd0__h256__L2.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id002__tau3__vth0p7__lr0p001__ig1p5__wd0__h256__L2,DONE
lif__id003__tau3__vth0p3__lr0p0003__ig1p2__wd0p0001__h384__L2,lif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/lif__id003__tau3__vth0p3__lr0p0003__ig1p2__wd0p0001__h384__L2.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id003__tau3__vth0p3__lr0p0003__ig1p2__wd0p0001__h384__L2,DONE
lif__id004__tau3__vth0p3__lr0p0008__ig1p2__wd0p0001__h384__L2,lif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/lif__id004__tau3__vth0p3__lr0p0008__ig1p2__wd0p0001__h384__L2.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id004__tau3__vth0p3__lr0p0008__ig1p2__wd0p0001__h384__L2,DONE
lif__id005__tau1p5__vth1__lr0p002__ig1p5__wd0__h384__L2,lif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/lif__id005__tau1p5__vth1__lr0p002__ig1p5__wd0__h384__L2.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id005__tau1p5__vth1__lr0p002__ig1p5__wd0__h384__L2,DONE
lif__id006__tau4__vth1__lr0p002__ig1p2__wd0p0001__h384__L2,lif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/lif__id006__tau4__vth1__lr0p002__ig1p2__wd0p0001__h384__L2.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id006__tau4__vth1__lr0p002__ig1p2__wd0p0001__h384__L2,DONE
lif__id007__tau4__vth0p3__lr0p0008__ig0p8__wd0__h500__L1,lif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/lif__id007__tau4__vth0p3__lr0p0008__ig0p8__wd0__h500__L1.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id007__tau4__vth0p3__lr0p0008__ig0p8__wd0__h500__L1,DONE
lif__id008__tau4__vth1__lr0p002__ig0p8__wd0__h384__L1,lif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/lif__id008__tau4__vth1__lr0p002__ig0p8__wd0__h384__L1.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id008__tau4__vth1__lr0p002__ig0p8__wd0__h384__L1,DONE
lif__id009__tau4__vth1__lr0p002__ig1p2__wd0p0001__h500__L2,lif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/lif__id009__tau4__vth1__lr0p002__ig1p2__wd0p0001__h500__L2.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id009__tau4__vth1__lr0p002__ig1p2__wd0p0001__h500__L2,DONE
