run_id,epoch,model,hidden_dim,num_layers,T,tau,v_threshold,v_reset,tau_response,tau_refractory,input_gain,lr,weight_decay,alpha,label_scale,eval_subset,train_acc,train_macro_precision,train_macro_recall,train_macro_f1,test_acc,test_macro_precision,test_macro_recall,test_macro_f1,best_test_acc,best_test_macro_f1,train_time_sec,test_time_sec,epoch_time_sec,train_speed,test_speed,train_latency_ms_per_sample,test_latency_ms_per_sample,train_cpu_memory_mb,test_cpu_memory_mb,train_gpu_memory_allocated_mb,train_gpu_memory_reserved_mb,test_gpu_memory_allocated_mb,test_gpu_memory_reserved_mb,test_confusion_path,best_test_confusion_path,final_test_confusion_path,best_model_path,final_model_path,layer_0_loss,layer_1_loss,train_total_spikes,train_global_spike_rate,train_dense_synops,train_event_synops,train_energy_proxy_synops,train_event_to_dense_ratio,train_layer_0_spike_count,train_layer_0_spike_rate,train_layer_0_active_input_rate,train_layer_0_dense_synops,train_layer_0_event_synops,train_layer_0_event_to_dense_ratio,train_layer_1_spike_count,train_layer_1_spike_rate,train_layer_1_active_input_rate,train_layer_1_dense_synops,train_layer_1_event_synops,train_layer_1_event_to_dense_ratio,test_total_spikes,test_global_spike_rate,test_dense_synops,test_event_synops,test_energy_proxy_synops,test_event_to_dense_ratio,test_layer_0_spike_count,test_layer_0_spike_rate,test_layer_0_active_input_rate,test_layer_0_dense_synops,test_layer_0_event_synops,test_layer_0_event_to_dense_ratio,test_layer_1_spike_count,test_layer_1_spike_rate,test_layer_1_active_input_rate,test_layer_1_dense_synops,test_layer_1_event_synops,test_layer_1_event_to_dense_ratio
20260427_005611,1,alif,500,2,10,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,6.0,1.0,0,0.71565,0.7173666826701233,0.7124971807581405,0.7139513501328365,0.7303,0.7331935783066829,0.7277412278266063,0.7293027094216832,0.7303,0.7293027094216832,25.319190502166748,7.215551376342773,59.1190447807312,2264.843340670495,1385.8954747084808,0.4415316424066467,0.7215551376342774,1541.18359375,1564.27734375,1236.91357421875,1820.0,809.01904296875,2066.0,,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_best_test_confusion.csv,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_final_test_confusion.csv,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_best_model.pth,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_final_model.pth,-0.0850634832999536,-0.041917147913149426,116144728.0,0.019357454666666666,3852000000000.0,501939679000.0,501939679000.0,0.1303062510384216,98463758.0,0.03282125266666667,0.19247780612244897,2352000000000.0,452707800000.0,0.19247780612244897,17680970.0,0.005893656666666667,0.03282125266666667,1500000000000.0,49231879000.0,0.03282125266666667,20031628.0,0.020031628,642000000000.0,84495514500.0,84495514500.0,0.13161295093457945,16869129.0,0.033738258,0.1940330357142857,392000000000.0,76060950000.0,0.1940330357142857,3162499.0,0.006324998,0.033738258,250000000000.0,8434564500.0,0.033738258
20260427_005611,2,alif,500,2,10,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,6.0,1.0,0,0.8216333333333333,0.8230078500272675,0.8202205287137513,0.8206057867996573,0.8227,0.8246305561002474,0.8212145527602942,0.8217823228394433,0.8227,0.8217823228394433,29.887309074401855,7.414489030838013,67.89456343650818,1918.6739046077082,1348.7106068143664,0.5211933083566171,0.7414489030838013,1581.77734375,1580.75390625,1236.91357421875,2066.0,809.01904296875,2066.0,,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_best_test_confusion.csv,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_final_test_confusion.csv,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_best_model.pth,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_final_model.pth,-0.183358228632382,-0.07467111120266574,54834441.0,0.0091390735,3852000000000.0,476692180500.0,476692180500.0,0.12375186409657321,47968761.0,0.015989587,0.19247780612244897,2352000000000.0,452707800000.0,0.19247780612244897,6865680.0,0.00228856,0.015989587,1500000000000.0,23984380500.0,0.015989587,9435517.0,0.009435517,642000000000.0,80165125000.0,80165125000.0,0.12486779595015576,8208350.0,0.0164167,0.1940330357142857,392000000000.0,76060950000.0,0.1940330357142857,1227167.0,0.002454334,0.0164167,250000000000.0,4104175000.0,0.0164167
20260427_005611,3,alif,500,2,10,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,6.0,1.0,0,0.8668666666666667,0.8659720746980459,0.8655001768842837,0.8655081523090964,0.867,0.8657521602581996,0.8656579865323064,0.8654647387718202,0.867,0.8654647387718202,30.6610267162323,7.851468801498413,68.47557282447815,1870.2570051133164,1273.6470401680194,0.5346858732601893,0.7851468801498414,1581.24609375,1581.12890625,1236.91357421875,2066.0,809.01904296875,2066.0,,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_best_test_confusion.csv,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_final_test_confusion.csv,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_best_model.pth,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_final_model.pth,-0.20217539157186235,-0.12027966976165771,64420138.0,0.010736689666666667,3852000000000.0,476618934000.0,476618934000.0,0.12373284890965731,47822268.0,0.015940756,0.19247780612244897,2352000000000.0,452707800000.0,0.19247780612244897,16597870.0,0.0055326233333333336,0.015940756,1500000000000.0,23911134000.0,0.015940756,11102785.0,0.011102785,642000000000.0,80133662000.0,80133662000.0,0.12481878816199377,8145424.0,0.016290848,0.1940330357142857,392000000000.0,76060950000.0,0.1940330357142857,2957361.0,0.005914722,0.016290848,250000000000.0,4072712000.0,0.016290848
20260427_005611,4,alif,500,2,10,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,6.0,1.0,0,0.8900166666666667,0.8896401562950104,0.888756147036875,0.8889285470543358,0.8846,0.883641111221052,0.8833055167334509,0.8832756998269602,0.8846,0.8832756998269602,29.920252084732056,7.496954917907715,67.88280177116394,1916.5613925178777,1333.8749011433094,0.5217677888660026,0.7496954917907714,1581.6328125,1581.1484375,1236.91357421875,2066.0,809.01904296875,2066.0,,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_best_test_confusion.csv,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_final_test_confusion.csv,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_best_model.pth,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_final_model.pth,-0.21199240003313338,-0.1495029138667243,59084156.0,0.009847359333333333,3852000000000.0,473951824500.0,473951824500.0,0.12304045288161994,42488049.0,0.014162683,0.19247780612244897,2352000000000.0,452707800000.0,0.19247780612244897,16596107.0,0.005532035666666667,0.014162683,1500000000000.0,21244024500.0,0.014162683,10162624.0,0.010162624,642000000000.0,79676465000.0,79676465000.0,0.12410664330218069,7231030.0,0.01446206,0.1940330357142857,392000000000.0,76060950000.0,0.1940330357142857,2931594.0,0.005863188,0.01446206,250000000000.0,3615515000.0,0.01446206
20260427_005611,5,alif,500,2,10,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,6.0,1.0,0,0.9028,0.9025957264966765,0.9017831284161522,0.9019672499840661,0.9025,0.9019749047175495,0.9015074503061266,0.9015866407446882,0.9025,0.9015866407446882,30.073802947998047,6.317808151245117,65.2017605304718,1906.7758107997204,1582.8274237844962,0.5244455034179347,0.6317808151245117,1582.65234375,1582.21875,1236.91357421875,2066.0,809.01904296875,2066.0,,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_best_test_confusion.csv,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_final_test_confusion.csv,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_best_model.pth,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_final_model.pth,-0.2172351394380842,-0.17062941832201822,54759756.0,0.009126626,3852000000000.0,472358020000.0,472358020000.0,0.12262669262720664,39300440.0,0.013100146666666666,0.19247780612244897,2352000000000.0,452707800000.0,0.19247780612244897,15459316.0,0.005153105333333333,0.013100146666666666,1500000000000.0,19650220000.0,0.013100146666666666,9358980.0,0.00935898,642000000000.0,79390410000.0,79390410000.0,0.12366107476635514,6658920.0,0.01331784,0.1940330357142857,392000000000.0,76060950000.0,0.1940330357142857,2700060.0,0.00540012,0.01331784,250000000000.0,3329460000.0,0.01331784
20260427_005611,6,alif,500,2,10,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,6.0,1.0,0,0.91525,0.9147134947213752,0.9143863908089743,0.9144488549267893,0.912,0.9111773679223273,0.9111058317793559,0.9110713148687412,0.912,0.9110713148687412,30.777315855026245,7.5984885692596436,69.00558423995972,1863.1904182324965,1316.0512000315277,0.536713794904894,0.7598488569259644,1582.72265625,1582.84375,1236.91357421875,2066.0,809.01904296875,2066.0,,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_best_test_confusion.csv,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_final_test_confusion.csv,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_best_model.pth,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_final_model.pth,-0.22222983304943358,-0.18662460254771368,51538166.0,0.008589694333333333,3852000000000.0,471019061000.0,471019061000.0,0.12227909164070613,36622522.0,0.012207507333333333,0.19247780612244897,2352000000000.0,452707800000.0,0.19247780612244897,14915644.0,0.004971881333333333,0.012207507333333333,1500000000000.0,18311261000.0,0.012207507333333333,8787916.0,0.008787916,642000000000.0,79157818000.0,79157818000.0,0.12329878193146418,6193736.0,0.012387472,0.1940330357142857,392000000000.0,76060950000.0,0.1940330357142857,2594180.0,0.00518836,0.012387472,250000000000.0,3096868000.0,0.012387472
20260427_005611,7,alif,500,2,10,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,6.0,1.0,0,0.9244666666666667,0.9236647814767839,0.9237462725834235,0.9236661923858765,0.9167,0.9157233658401676,0.9159269886076349,0.9157238318268235,0.9167,0.9157238318268235,30.266746520996094,7.579584121704102,67.96213340759277,1894.6205519717942,1319.333599236012,0.5278101723108973,0.7579584121704102,1583.35546875,1583.41796875,1236.91357421875,2066.0,809.01904296875,2066.0,,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_best_test_confusion.csv,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_final_test_confusion.csv,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_best_model.pth,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_final_model.pth,-0.22511607514960424,-0.20166853283132827,49333516.0,0.008222252666666667,3852000000000.0,469761699000.0,469761699000.0,0.12195267367601247,34107798.0,0.011369266,0.19247780612244897,2352000000000.0,452707800000.0,0.19247780612244897,15225718.0,0.005075239333333334,0.011369266,1500000000000.0,17053899000.0,0.011369266,8380122.0,0.008380122,642000000000.0,78939627500.0,78939627500.0,0.12295892133956386,5757355.0,0.01151471,0.1940330357142857,392000000000.0,76060950000.0,0.1940330357142857,2622767.0,0.005245534,0.01151471,250000000000.0,2878677500.0,0.01151471
20260427_005611,8,alif,500,2,10,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,6.0,1.0,0,0.9284333333333333,0.927666679615203,0.9278961011987944,0.9277376009431608,0.9208,0.9199278996228559,0.9202409716309644,0.9199153064085046,0.9208,0.9199153064085046,30.262282848358154,7.473339080810547,68.44312763214111,1894.900007621571,1338.0899611095147,0.5277323320374957,0.7473339080810547,1583.94921875,1584.03125,1236.91357421875,2066.0,809.01904296875,2066.0,,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_best_test_confusion.csv,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_final_test_confusion.csv,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_best_model.pth,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_final_model.pth,-0.2285701675074441,-0.21366793981620244,46609243.0,0.007768207166666667,3852000000000.0,468531576000.0,468531576000.0,0.12163332710280374,31647552.0,0.010549184,0.19247780612244897,2352000000000.0,452707800000.0,0.19247780612244897,14961691.0,0.004987230333333334,0.010549184,1500000000000.0,15823776000.0,0.010549184,7897046.0,0.007897046,642000000000.0,78727097500.0,78727097500.0,0.1226278777258567,5332295.0,0.01066459,0.1940330357142857,392000000000.0,76060950000.0,0.1940330357142857,2564751.0,0.005129502,0.01066459,250000000000.0,2666147500.0,0.01066459
20260427_005611,9,alif,500,2,10,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,6.0,1.0,0,0.9342333333333334,0.933529018396345,0.933675369641568,0.9335721618781314,0.9272,0.9265144016163896,0.926499598361491,0.9263893215770667,0.9272,0.9263893215770667,30.35210347175598,7.4566731452941895,67.59181094169617,1889.2924522796652,1341.080640809752,0.5292986794042268,0.7456673145294189,1584.53515625,1584.57421875,1236.91357421875,2066.0,809.01904296875,2066.0,,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_best_test_confusion.csv,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_final_test_confusion.csv,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_best_model.pth,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_final_model.pth,-0.23091387642281397,-0.22126808336802892,44809001.0,0.007468166833333333,3852000000000.0,467701210500.0,467701210500.0,0.1214177597352025,29986821.0,0.009995607,0.19247780612244897,2352000000000.0,452707800000.0,0.19247780612244897,14822180.0,0.004940726666666667,0.009995607,1500000000000.0,14993410500.0,0.009995607,7565702.0,0.007565702,642000000000.0,78580534000.0,78580534000.0,0.12239958566978193,5039168.0,0.010078336,0.1940330357142857,392000000000.0,76060950000.0,0.1940330357142857,2526534.0,0.005053068,0.010078336,250000000000.0,2519584000.0,0.010078336
20260427_005611,10,alif,500,2,10,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,6.0,1.0,0,0.9395833333333333,0.9389853580389687,0.9390807135963385,0.9389996329002173,0.9293,0.9286410393659036,0.9287839585033228,0.928635308234391,0.9293,0.928635308234391,30.134803295135498,7.334733247756958,67.54536724090576,1902.9160216637863,1363.3760986547275,0.5255092650518886,0.7334733247756958,1585.078125,1585.19140625,1236.91357421875,2066.0,809.01904296875,2066.0,,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_best_test_confusion.csv,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_final_test_confusion.csv,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_best_model.pth,./result/2layers/best/alif2/MNIST_alif_FF_v2_20260427_005611_final_model.pth,-0.23336138895579747,-0.22661767367805755,42538680.0,0.00708978,3852000000000.0,466822133500.0,466822133500.0,0.12118954659916926,28228667.0,0.009409555666666666,0.19247780612244897,2352000000000.0,452707800000.0,0.19247780612244897,14310013.0,0.004770004333333334,0.009409555666666666,1500000000000.0,14114333500.0,0.009409555666666666,7165298.0,0.007165298,642000000000.0,78429035500.0,78429035500.0,0.12216360669781931,4736171.0,0.009472342,0.1940330357142857,392000000000.0,76060950000.0,0.1940330357142857,2429127.0,0.004858254,0.009472342,250000000000.0,2368085500.0,0.009472342
