epoch,train_acc,test_acc,best_test_acc,train_speed,test_speed,layer_0_loss,layer_1_loss
1,0.8037277747844828,0.8025,0.8025,8209.46033561028,4611.448735434282,-0.12855575831028923,-0.056525335109246705
2,0.8743770204741379,0.8733,0.8733,8015.044413007432,6192.520880526229,-0.202028324891781,-0.12736233889028944
3,0.9010304418103449,0.8951,0.8951,9603.03574971229,5392.160618688229,-0.21427827919351644,-0.1759748900758809
4,0.9180866109913793,0.9114,0.9114,8006.5131718975335,5497.31209572651,-0.22120031714439392,-0.20045372997892313
5,0.9273639547413793,0.92,0.92,7616.769977234579,5192.839847910591,-0.22572512256688085,-0.21603771838648567
6,0.9358836206896551,0.9296,0.9296,8311.464038333008,7744.283604135893,-0.23012585681060266,-0.22550014123834414
7,0.9447063577586207,0.9333,0.9333,13820.949082852298,5448.4641744629225,-0.23313522441633816,-0.23139535455868163
8,0.9489998653017241,0.9395,0.9395,8048.428815201332,5434.128022352677,-0.23608886835903958,-0.2352286582363063
9,0.9534785829741379,0.9401,0.9401,8066.5956846584595,5142.121416376457,-0.23816820054218688,-0.23860715226880436
10,0.9552296605603449,0.9443,0.9443,9214.167626894412,11418.145804652788,-0.2399444626323108,-0.24171309738323607
11,0.9616109913793104,0.9473,0.9473,9469.045325347663,5613.689449759113,-0.24192147881820283,-0.24424143700764098
12,0.96484375,0.9503,0.9503,8281.83608464592,5470.180352885833,-0.24346350904168754,-0.2461885527290147
13,0.9675882273706896,0.9498,0.9503,7593.284358931745,6442.690096656388,-0.2441742949444672,-0.24761701863387536
14,0.9685479525862069,0.9527,0.9527,10411.472409115559,5492.465888680474,-0.24602906097625865,-0.24928975516352161
15,0.9723700161637931,0.956,0.956,7977.077991681922,5529.340623167154,-0.24698332774228063,-0.2508717122776755
16,0.9739863954741379,0.9551,0.956,7561.454221498435,5130.709228160684,-0.24846616798433765,-0.2524066022757826
17,0.9763099407327587,0.9571,0.9571,8202.075309696833,6800.079506850008,-0.24866039228850398,-0.2536262294341778
18,0.9773033405172413,0.9602,0.9602,14142.152952449362,5398.117719858254,-0.25082929124092235,-0.2553153459368081
19,0.9775895743534483,0.9577,0.9602,8222.19999068192,5425.372579277588,-0.2514109940364443,-0.25612294776686306
20,0.9798289331896551,0.9582,0.9602,8082.005535791804,5236.785690652503,-0.2517513180601186,-0.256800285701094
21,0.9799636314655172,0.9598,0.9602,9053.040518701193,8113.005942916741,-0.2522834714116721,-0.25762050521784813
22,0.9811927532327587,0.9593,0.9602,10699.579505200298,5405.88987915219,-0.2528718792158982,-0.25835561957852593
23,0.9826575969827587,0.9602,0.9602,8269.130910760483,5468.954264132128,-0.25315932775365896,-0.2589658509040701
24,0.9831458782327587,0.9634,0.9634,8199.564311607779,5999.412689483093,-0.25407761232606296,-0.2600963095138813
25,0.9855030980603449,0.9629,0.9634,9279.30052920701,7023.3466651149665,-0.2548133124565256,-0.2607512915956563
26,0.9850148168103449,0.964,0.964,9780.744003228298,12568.886379688905,-0.25541227542120837,-0.2611230570694496
27,0.9861934267241379,0.9642,0.9642,8634.30906465721,6047.157198688061,-0.2557234949079053,-0.261633798993867
28,0.9863449622844828,0.9632,0.9642,7622.062508921519,5292.214019085919,-0.25633601895694075,-0.26220733030089016
29,0.9870352909482759,0.9656,0.9656,7675.836008883853,6085.826276037366,-0.2561411980924935,-0.262379324641721
30,0.9879613415948276,0.966,0.966,10762.14258369179,5399.44222680854,-0.25683255545024214,-0.26292202698773354
31,0.9882475754310345,0.967,0.967,7395.57961298978,5377.145301755343,-0.2572856864024853,-0.26353165199016704
32,0.9891399515086207,0.9657,0.967,8090.5843149201755,5288.525928353359,-0.25785951881573116,-0.2638349851657604
33,0.9896113954741379,0.9649,0.967,8012.999451988007,6737.602881955761,-0.25802307704399374,-0.2641622434402334
34,0.9890726023706896,0.9663,0.967,14443.164922113056,5461.193959112502,-0.25802165989218084,-0.2642596672321188
35,0.9901333512931034,0.9671,0.9671,8367.868238570703,5357.1691775885265,-0.2584953821938613,-0.26477644566831915
36,0.9908910290948276,0.9683,0.9683,8113.560463890244,5554.141004572499,-0.2588826448752962,-0.2650685937240206
37,0.9908741918103449,0.9684,0.9684,8651.647499589004,12158.516548182384,-0.25883192646092384,-0.26525374424868614
38,0.9907563308189655,0.9695,0.9695,8900.528104287785,5560.7218232436435,-0.2594711379758243,-0.26580230737554617
