run_id,epoch,model,hidden_dim,num_layers,T,tau,v_threshold,v_reset,tau_response,tau_refractory,input_gain,lr,weight_decay,alpha,label_scale,eval_subset,train_acc,train_macro_precision,train_macro_recall,train_macro_f1,test_acc,test_macro_precision,test_macro_recall,test_macro_f1,best_test_acc,best_test_macro_f1,train_time_sec,test_time_sec,epoch_time_sec,train_speed,test_speed,train_latency_ms_per_sample,test_latency_ms_per_sample,train_cpu_memory_mb,test_cpu_memory_mb,train_gpu_memory_allocated_mb,train_gpu_memory_reserved_mb,test_gpu_memory_allocated_mb,test_gpu_memory_reserved_mb,test_confusion_path,best_test_confusion_path,final_test_confusion_path,best_model_path,final_model_path,layer_0_loss,layer_1_loss,train_total_spikes,train_global_spike_rate,train_dense_synops,train_event_synops,train_energy_proxy_synops,train_event_to_dense_ratio,train_layer_0_spike_count,train_layer_0_spike_rate,train_layer_0_active_input_rate,train_layer_0_dense_synops,train_layer_0_event_synops,train_layer_0_event_to_dense_ratio,train_layer_1_spike_count,train_layer_1_spike_rate,train_layer_1_active_input_rate,train_layer_1_dense_synops,train_layer_1_event_synops,train_layer_1_event_to_dense_ratio,test_total_spikes,test_global_spike_rate,test_dense_synops,test_event_synops,test_energy_proxy_synops,test_event_to_dense_ratio,test_layer_0_spike_count,test_layer_0_spike_rate,test_layer_0_active_input_rate,test_layer_0_dense_synops,test_layer_0_event_synops,test_layer_0_event_to_dense_ratio,test_layer_1_spike_count,test_layer_1_spike_rate,test_layer_1_active_input_rate,test_layer_1_dense_synops,test_layer_1_event_synops,test_layer_1_event_to_dense_ratio
20260325_165202,1,srm,500,2,10,2.0,0.5,0.0,2.0,2.0,1.0,0.0008,0.0,6.0,1.0,0,0.8103833333333333,0.8096009619834821,0.808020986741577,0.8082048912571675,0.8006,0.8011713944065406,0.7983524622857708,0.7986853060221281,0.8006,0.7986853060221281,3.8768486976623535,0.8175961971282959,8.155884504318237,15319.658988964915,12230.976654641676,0.06527560441915331,0.08175961971282959,1424.6171875,1441.5859375,273.431640625,390.0,234.28173828125,452.0,,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_best_test_confusion.csv,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_final_test_confusion.csv,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_best_model.pth,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_final_model.pth,-0.11349009892678466,-0.06600207717414817,34801693.0,0.005800282166666667,3852000000000.0,465952173000.0,465952173000.0,0.12096370015576324,26488746.0,0.008829582,0.19247780612244897,2352000000000.0,452707800000.0,0.19247780612244897,8312947.0,0.002770982333333333,0.008829582,1500000000000.0,13244373000.0,0.008829582,5773777.0,0.005773777,642000000000.0,78254063000.0,78254063000.0,0.12189106386292835,4386226.0,0.008772452,0.1940330357142857,392000000000.0,76060950000.0,0.1940330357142857,1387551.0,0.002775102,0.008772452,250000000000.0,2193113000.0,0.008772452
20260325_165202,2,srm,500,2,10,2.0,0.5,0.0,2.0,2.0,1.0,0.0008,0.0,6.0,1.0,0,0.8661166666666666,0.8655806146819647,0.8639543470081377,0.8641334600851958,0.865,0.8646206963238814,0.8628707737024847,0.862965423751994,0.865,0.862965423751994,3.5371177196502686,0.8432493209838867,7.65661358833313,16791.072479734252,11858.88888511905,0.05955545729475802,0.08432493209838868,1443.59765625,1442.74609375,273.431640625,452.0,234.39111328125,452.0,,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_best_test_confusion.csv,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_final_test_confusion.csv,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_best_model.pth,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_final_model.pth,-0.21073312415131207,-0.17411118077820745,33717587.0,0.005619597833333333,3852000000000.0,463161421000.0,463161421000.0,0.12023920586708203,20907242.0,0.006969080666666667,0.19247780612244897,2352000000000.0,452707800000.0,0.19247780612244897,12810345.0,0.004270115,0.006969080666666667,1500000000000.0,10453621000.0,0.006969080666666667,5549421.0,0.005549421,642000000000.0,77778757000.0,77778757000.0,0.12115071183800623,3435614.0,0.006871228,0.1940330357142857,392000000000.0,76060950000.0,0.1940330357142857,2113807.0,0.004227614,0.006871228,250000000000.0,1717807000.0,0.006871228
20260325_165202,3,srm,500,2,10,2.0,0.5,0.0,2.0,2.0,1.0,0.0008,0.0,6.0,1.0,0,0.8956166666666666,0.8952731638187073,0.8942721585376411,0.8944805994225561,0.8834,0.8837293325649561,0.881842501422611,0.8822736712500279,0.8834,0.8822736712500279,3.589099645614624,0.8207876682281494,7.73683762550354,16547.882718321485,12183.418912210509,0.06043069177018157,0.08207876682281494,1444.25390625,1443.33203125,273.431640625,452.0,234.39111328125,452.0,,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_best_test_confusion.csv,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_final_test_confusion.csv,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_best_model.pth,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_final_model.pth,-0.22111112161956983,-0.20693136469043535,30330409.0,0.005055068166666667,3852000000000.0,461400943000.0,461400943000.0,0.11978217627206646,17386286.0,0.005795428666666666,0.19247780612244897,2352000000000.0,452707800000.0,0.19247780612244897,12944123.0,0.004314707666666666,0.005795428666666666,1500000000000.0,8693143000.0,0.005795428666666666,5003070.0,0.00500307,642000000000.0,77489204000.0,77489204000.0,0.12069969470404984,2856508.0,0.005713016,0.1940330357142857,392000000000.0,76060950000.0,0.1940330357142857,2146562.0,0.004293124,0.005713016,250000000000.0,1428254000.0,0.005713016
20260325_165202,4,srm,500,2,10,2.0,0.5,0.0,2.0,2.0,1.0,0.0008,0.0,6.0,1.0,0,0.9104166666666667,0.9097758802469137,0.9090885852801247,0.9092547266114334,0.9027,0.9022000747817641,0.9011248866183953,0.9014565311109008,0.9027,0.9014565311109008,3.5386924743652344,0.9095296859741211,7.764146566390991,16783.600278985432,10994.693360986714,0.05958197188788447,0.09095296859741211,1444.82421875,1444.09375,273.431640625,452.0,234.39111328125,452.0,,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_best_test_confusion.csv,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_final_test_confusion.csv,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_best_model.pth,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_final_model.pth,-0.22691190165692363,-0.22375690782892294,26685870.0,0.004447645,3852000000000.0,460038608500.0,460038608500.0,0.1194285068795431,14661617.0,0.004887205666666667,0.19247780612244897,2352000000000.0,452707800000.0,0.19247780612244897,12024253.0,0.0040080843333333335,0.004887205666666667,1500000000000.0,7330808500.0,0.004887205666666667,4371717.0,0.004371717,642000000000.0,77258945000.0,77258945000.0,0.12034103582554517,2395990.0,0.00479198,0.1940330357142857,392000000000.0,76060950000.0,0.1940330357142857,1975727.0,0.003951454,0.00479198,250000000000.0,1197995000.0,0.00479198
20260325_165202,5,srm,500,2,10,2.0,0.5,0.0,2.0,2.0,1.0,0.0008,0.0,6.0,1.0,0,0.9270166666666667,0.9265070988144147,0.9260529510029218,0.9262054688173308,0.9098,0.9095673335264148,0.9085226146451989,0.9088147445597944,0.9098,0.9088147445597944,3.7419471740722656,0.8379206657409668,7.890573740005493,15871.95041435211,11934.304056288047,0.06300422908930943,0.08379206657409669,1444.60546875,1443.91796875,273.431640625,452.0,234.39111328125,452.0,,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_best_test_confusion.csv,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_final_test_confusion.csv,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_best_model.pth,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_final_model.pth,-0.23154932054980049,-0.23227942760648398,23940217.0,0.003990036166666666,3852000000000.0,458997310500.0,458997310500.0,0.11915818029595016,12579021.0,0.004193007,0.19247780612244897,2352000000000.0,452707800000.0,0.19247780612244897,11361196.0,0.003787065333333333,0.004193007,1500000000000.0,6289510500.0,0.004193007,3935744.0,0.003935744,642000000000.0,77091585500.0,77091585500.0,0.12008035124610592,2061271.0,0.004122542,0.1940330357142857,392000000000.0,76060950000.0,0.1940330357142857,1874473.0,0.003748946,0.004122542,250000000000.0,1030635500.0,0.004122542
20260325_165202,6,srm,500,2,10,2.0,0.5,0.0,2.0,2.0,1.0,0.0008,0.0,6.0,1.0,0,0.9352,0.9346701346180307,0.9345235262905733,0.9345200465965882,0.9193,0.9190314376975051,0.918343531861578,0.9184500246316277,0.9193,0.9184500246316277,3.5777342319488525,0.8164386749267578,7.690063238143921,16600.4504945154,12248.317365535255,0.060239329067026746,0.08164386749267578,1446.1171875,1444.42578125,273.431640625,452.0,234.39111328125,452.0,,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_best_test_confusion.csv,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_final_test_confusion.csv,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_best_model.pth,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_final_model.pth,-0.23509646438319107,-0.23759161732320128,21581622.0,0.003596937,3852000000000.0,458126595000.0,458126595000.0,0.11893213785046729,10837590.0,0.00361253,0.19247780612244897,2352000000000.0,452707800000.0,0.19247780612244897,10744032.0,0.003581344,0.00361253,1500000000000.0,5418795000.0,0.00361253,3556331.0,0.003556331,642000000000.0,76950912000.0,76950912000.0,0.11986123364485982,1779924.0,0.003559848,0.1940330357142857,392000000000.0,76060950000.0,0.1940330357142857,1776407.0,0.003552814,0.003559848,250000000000.0,889962000.0,0.003559848
20260325_165202,7,srm,500,2,10,2.0,0.5,0.0,2.0,2.0,1.0,0.0008,0.0,6.0,1.0,0,0.9393333333333334,0.9390275840769069,0.9384699371554367,0.938598492797594,0.9198,0.9197873871973814,0.9185544998760907,0.9188161056416142,0.9198,0.9188161056416142,3.533670663833618,0.8443634510040283,7.668360233306885,16807.451981268296,11843.241187321704,0.059497418235345136,0.08443634510040283,1444.9296875,1444.94921875,273.431640625,452.0,234.39111328125,452.0,,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_best_test_confusion.csv,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_final_test_confusion.csv,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_best_model.pth,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_final_model.pth,-0.23804506479666152,-0.24125408252765393,20480591.0,0.0034134318333333335,3852000000000.0,457683586000.0,457683586000.0,0.1188171303219107,9951572.0,0.0033171906666666666,0.19247780612244897,2352000000000.0,452707800000.0,0.19247780612244897,10529019.0,0.003509673,0.0033171906666666666,1500000000000.0,4975786000.0,0.0033171906666666666,3333701.0,0.003333701,642000000000.0,76867519000.0,76867519000.0,0.11973133800623052,1613138.0,0.003226276,0.1940330357142857,392000000000.0,76060950000.0,0.1940330357142857,1720563.0,0.003441126,0.003226276,250000000000.0,806569000.0,0.003226276
20260325_165202,8,srm,500,2,10,2.0,0.5,0.0,2.0,2.0,1.0,0.0008,0.0,6.0,1.0,0,0.9454833333333333,0.9452184753987904,0.9450152297594915,0.9450061002837,0.9267,0.9264965825897716,0.9260001749112329,0.9260106648359671,0.9267,0.9260106648359671,3.5254781246185303,0.8362669944763184,7.653985023498535,16846.509296218206,11957.903475865545,0.059359478121944545,0.08362669944763183,1446.95703125,1445.97265625,273.431640625,452.0,234.39111328125,452.0,,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_best_test_confusion.csv,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_final_test_confusion.csv,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_best_model.pth,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_final_model.pth,-0.24018421717758837,-0.24398627260635639,19810394.0,0.0033017323333333335,3852000000000.0,457342670000.0,457342670000.0,0.1187286266874351,9269740.0,0.0030899133333333333,0.19247780612244897,2352000000000.0,452707800000.0,0.19247780612244897,10540654.0,0.0035135513333333333,0.0030899133333333333,1500000000000.0,4634870000.0,0.0030899133333333333,3255346.0,0.003255346,642000000000.0,76819918500.0,76819918500.0,0.11965719392523365,1517937.0,0.003035874,0.1940330357142857,392000000000.0,76060950000.0,0.1940330357142857,1737409.0,0.003474818,0.003035874,250000000000.0,758968500.0,0.003035874
20260325_165202,9,srm,500,2,10,2.0,0.5,0.0,2.0,2.0,1.0,0.0008,0.0,6.0,1.0,0,0.9532833333333334,0.9530971431882518,0.9525566494775148,0.9527427409245337,0.9328,0.9328950920373856,0.9316730174657512,0.932001007487762,0.9328,0.932001007487762,3.508974552154541,0.8542723655700684,7.65911865234375,16925.742582981344,11705.868529794774,0.059081602777386534,0.08542723655700683,1449.484375,1446.48046875,273.431640625,452.0,234.39111328125,452.0,,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_best_test_confusion.csv,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_final_test_confusion.csv,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_best_model.pth,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_final_model.pth,-0.24343166526021628,-0.24720777494126353,19256102.0,0.0032093503333333333,3852000000000.0,457079633500.0,457079633500.0,0.11866034099169263,8743667.0,0.002914555666666667,0.19247780612244897,2352000000000.0,452707800000.0,0.19247780612244897,10512435.0,0.003504145,0.002914555666666667,1500000000000.0,4371833500.0,0.002914555666666667,3161163.0,0.003161163,642000000000.0,76776671500.0,76776671500.0,0.11958983099688474,1431443.0,0.002862886,0.1940330357142857,392000000000.0,76060950000.0,0.1940330357142857,1729720.0,0.00345944,0.002862886,250000000000.0,715721500.0,0.002862886
20260325_165202,10,srm,500,2,10,2.0,0.5,0.0,2.0,2.0,1.0,0.0008,0.0,6.0,1.0,0,0.9556666666666667,0.9551284559305753,0.9552603751857918,0.9551723546287423,0.9354,0.9349193625272184,0.9345624167941095,0.9346413406100547,0.9354,0.9346413406100547,3.5009167194366455,0.8109915256500244,7.607945442199707,16964.69946578939,12330.585072371525,0.058945930755600846,0.08109915256500244,1446.95703125,1446.96875,273.431640625,452.0,234.39111328125,452.0,,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_best_test_confusion.csv,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_final_test_confusion.csv,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_best_model.pth,./result/2layers/srm/MNIST_srm_FF_v2_20260325_165202_final_model.pth,-0.2445190816090025,-0.24945704844491234,17420126.0,0.0029033543333333335,3852000000000.0,456538306500.0,456538306500.0,0.11851980957943925,7661013.0,0.002553671,0.19247780612244897,2352000000000.0,452707800000.0,0.19247780612244897,9759113.0,0.0032530376666666666,0.002553671,1500000000000.0,3830506500.0,0.002553671,2845520.0,0.00284552,642000000000.0,76683988000.0,76683988000.0,0.11944546417445483,1246076.0,0.002492152,0.1940330357142857,392000000000.0,76060950000.0,0.1940330357142857,1599444.0,0.003198888,0.002492152,250000000000.0,623038000.0,0.002492152
