rank,run_name,model,best_test_acc,best_test_macro_f1,best_test_event_synops,final_test_acc,final_test_macro_f1,final_test_event_synops,status
1,srm__id018__tr3__trefr6__vth1__lr0p001__a4__ig1p2__ls1,srm,0.9802,0.9800615076254796,81608369000.0,0.9793,0.9791364341290888,81423129500.0,DONE
2,srm__id009__tr2p5__trefr8__vth0p3__lr0p001__a4__ig0p8__ls1p2,srm,0.9801,0.9799891024497835,80041304000.0,0.9796,0.9794807352410012,80041610000.0,DONE
3,dynsrm__id031__tr2__trefr8__vth1__lr0p0008__a6__ig1p2__ls1,dynsrm,0.9792,0.979144857193628,79371292000.0,0.9771,0.9769841299462508,79348438500.0,DONE
4,dynsrm__id003__tr2p5__trefr6__vth0p7__lr0p0008__a4__ig1__ls0p8,dynsrm,0.9789,0.9787223389788912,82273857000.0,0.9781,0.9779277449312735,82120960500.0,DONE
5,dynsrm__id033__tr2__trefr12__vth0p7__lr0p001__a8__ig1__ls1,dynsrm,0.9788,0.9786503018191188,78581755000.0,0.9786,0.9784422989366548,78478741000.0,DONE
6,srm__id021__tr4__trefr8__vth1__lr0p0008__a4__ig1p2__ls1,srm,0.9787,0.978574029576466,82030311500.0,0.977,0.976846824824928,81872870000.0,DONE
7,alif__id018__tau4__vth0p5__lr0p001__a4__ig1p5__ls1p2,alif,0.9787,0.9785052549810932,79175958500.0,0.9775,0.9772511859954576,79176477500.0,DONE
8,srm__id030__tr3__trefr6__vth1__lr0p001__a6__ig1__ls0p8,srm,0.9783,0.9781944833597134,79301390500.0,0.9779,0.9777642498838964,79236152500.0,DONE
9,dynsrm__id029__tr3__trefr8__vth0p5__lr0p0005__a4__ig1__ls1p2,dynsrm,0.9782,0.9780344730873124,81526714000.0,0.9763,0.976069707587078,81484450500.0,DONE
10,lif__id035__tau3__vth0p5__lr0p0008__a4__ig1__ls1,lif,0.9781,0.9779484057795772,79515058000.0,0.978,0.9778177080039016,79514321500.0,DONE
11,srm__id045__tr4__trefr6__vth0p7__lr0p0008__a4__ig1p2__ls1p2,srm,0.978,0.977838718098374,80145111000.0,0.977,0.9768230666672572,80092853000.0,DONE
12,srm__id000__tr2__trefr10__vth0p5__lr0p0008__a6__ig1__ls1,srm,0.978,0.9778030531426484,79146654500.0,0.9765,0.9763402352636902,79143316000.0,DONE
13,srm__id012__tr2__trefr12__vth1__lr0p001__a6__ig1p5__ls1p2,srm,0.9778,0.9776007670035296,79525796000.0,0.9771,0.976892593027896,79521946500.0,DONE
14,alif__id025__tau2__vth0p5__lr0p001__a4__ig0p8__ls1,alif,0.9777,0.9775048558409104,77368760000.0,0.9777,0.9774719554329568,77363037500.0,DONE
15,dynsrm__id011__tr2__trefr6__vth1__lr0p0008__a6__ig1__ls1p2,dynsrm,0.9776,0.9774340907514872,80114448000.0,0.9766,0.9764583415098615,80094181500.0,DONE
16,srm__id008__tr2p5__trefr6__vth1__lr0p001__a8__ig0p8__ls0p8,srm,0.9776,0.9774288459509988,78719714000.0,0.9759,0.9756507952459772,78609384000.0,DONE
17,lif__id020__tau3__vth0p3__lr0p0008__a4__ig1__ls0p8,lif,0.9774,0.9771519405227896,78883516500.0,0.9763,0.9760911892250952,78749146000.0,DONE
18,dynsrm__id021__tr3__trefr8__vth0p5__lr0p001__a6__ig1__ls1p2,dynsrm,0.9771,0.9769347879135568,78416694000.0,0.9759,0.9757136811096,78400208500.0,DONE
19,srm__id043__tr1p5__trefr8__vth0p3__lr0p001__a6__ig0p8__ls0p8,srm,0.9771,0.9769194511576548,78754167500.0,0.9752,0.9749902167797014,78648765000.0,DONE
20,dynsrm__id009__tr2p5__trefr10__vth0p5__lr0p0008__a4__ig1p5__ls1,dynsrm,0.9771,0.9769073572175362,80781006000.0,0.9759,0.9757224302000134,80780817500.0,DONE
21,srm__id040__tr2p5__trefr16__vth0p5__lr0p001__a4__ig1p2__ls1,srm,0.977,0.9768752116580895,82263706500.0,0.9762,0.9760778260231048,82263418500.0,DONE
22,dynsrm__id000__tr2__trefr10__vth0p5__lr0p0008__a6__ig1__ls1,dynsrm,0.977,0.9768541549740049,79131875000.0,0.9762,0.9760179201679896,79127943500.0,DONE
