run_name,model,best_test_acc,best_test_macro_f1,best_test_event_synops,final_test_acc,final_test_macro_f1,final_test_event_synops,csv_path,summary_path,best_model_path,final_model_path,status
lif__id000__tau2__vth0p5__lr0p0008__a6__ig1__ls1,lif,0.9699,0.9695585166844104,76715679500.0,0.9686,0.9682292794202192,76714252500.0,./result/fintune/runs/lif__id000__tau2__vth0p5__lr0p0008__a6__ig1__ls1/MNIST_lif_FF_v2_20260413_190118.csv,./result/fintune/runs/lif__id000__tau2__vth0p5__lr0p0008__a6__ig1__ls1/MNIST_lif_FF_v2_20260413_190118_summary.json,./result/fintune/runs/lif__id000__tau2__vth0p5__lr0p0008__a6__ig1__ls1/MNIST_lif_FF_v2_20260413_190118_best_model.pth,./result/fintune/runs/lif__id000__tau2__vth0p5__lr0p0008__a6__ig1__ls1/MNIST_lif_FF_v2_20260413_190118_final_model.pth,DONE
lif__id001__tau2p5__vth0p5__lr0p0008__a8__ig0p8__ls0p8,lif,0.974,0.973819615599045,77301629000.0,0.9731,0.9729236553016768,77188519500.0,./result/fintune/runs/lif__id001__tau2p5__vth0p5__lr0p0008__a8__ig0p8__ls0p8/MNIST_lif_FF_v2_20260413_190120.csv,./result/fintune/runs/lif__id001__tau2p5__vth0p5__lr0p0008__a8__ig0p8__ls0p8/MNIST_lif_FF_v2_20260413_190120_summary.json,./result/fintune/runs/lif__id001__tau2p5__vth0p5__lr0p0008__a8__ig0p8__ls0p8/MNIST_lif_FF_v2_20260413_190120_best_model.pth,./result/fintune/runs/lif__id001__tau2p5__vth0p5__lr0p0008__a8__ig0p8__ls0p8/MNIST_lif_FF_v2_20260413_190120_final_model.pth,DONE
lif__id002__tau4__vth0p3__lr0p0005__a6__ig1__ls1,lif,0.9751,0.9749265443760472,78780817500.0,0.9738,0.973621140732688,78774075500.0,./result/fintune/runs/lif__id002__tau4__vth0p3__lr0p0005__a6__ig1__ls1/MNIST_lif_FF_v2_20260413_192758.csv,./result/fintune/runs/lif__id002__tau4__vth0p3__lr0p0005__a6__ig1__ls1/MNIST_lif_FF_v2_20260413_192758_summary.json,./result/fintune/runs/lif__id002__tau4__vth0p3__lr0p0005__a6__ig1__ls1/MNIST_lif_FF_v2_20260413_192758_best_model.pth,./result/fintune/runs/lif__id002__tau4__vth0p3__lr0p0005__a6__ig1__ls1/MNIST_lif_FF_v2_20260413_192758_final_model.pth,DONE
lif__id003__tau3__vth0p3__lr0p0005__a8__ig0p8__ls1p2,lif,0.9708,0.9705706552129394,77279903000.0,0.9696,0.9693566042434144,77281400000.0,./result/fintune/runs/lif__id003__tau3__vth0p3__lr0p0005__a8__ig0p8__ls1p2/MNIST_lif_FF_v2_20260413_192758.csv,./result/fintune/runs/lif__id003__tau3__vth0p3__lr0p0005__a8__ig0p8__ls1p2/MNIST_lif_FF_v2_20260413_192758_summary.json,./result/fintune/runs/lif__id003__tau3__vth0p3__lr0p0005__a8__ig0p8__ls1p2/MNIST_lif_FF_v2_20260413_192758_best_model.pth,./result/fintune/runs/lif__id003__tau3__vth0p3__lr0p0005__a8__ig0p8__ls1p2/MNIST_lif_FF_v2_20260413_192758_final_model.pth,DONE
lif__id004__tau4__vth0p3__lr0p0008__a8__ig1__ls1p2,lif,0.9747,0.97447136746717,77454409000.0,0.9745,0.9741933822258276,77446536500.0,./result/fintune/runs/lif__id004__tau4__vth0p3__lr0p0008__a8__ig1__ls1p2/MNIST_lif_FF_v2_20260413_195439.csv,./result/fintune/runs/lif__id004__tau4__vth0p3__lr0p0008__a8__ig1__ls1p2/MNIST_lif_FF_v2_20260413_195439_summary.json,./result/fintune/runs/lif__id004__tau4__vth0p3__lr0p0008__a8__ig1__ls1p2/MNIST_lif_FF_v2_20260413_195439_best_model.pth,./result/fintune/runs/lif__id004__tau4__vth0p3__lr0p0008__a8__ig1__ls1p2/MNIST_lif_FF_v2_20260413_195439_final_model.pth,DONE
lif__id005__tau2__vth0p7__lr0p0008__a8__ig1p2__ls1p2,lif,0.9651,0.9648749009119882,76445706500.0,0.9647,0.9644761231641196,76446199000.0,./result/fintune/runs/lif__id005__tau2__vth0p7__lr0p0008__a8__ig1p2__ls1p2/MNIST_lif_FF_v2_20260413_195439.csv,./result/fintune/runs/lif__id005__tau2__vth0p7__lr0p0008__a8__ig1p2__ls1p2/MNIST_lif_FF_v2_20260413_195439_summary.json,./result/fintune/runs/lif__id005__tau2__vth0p7__lr0p0008__a8__ig1p2__ls1p2/MNIST_lif_FF_v2_20260413_195439_best_model.pth,./result/fintune/runs/lif__id005__tau2__vth0p7__lr0p0008__a8__ig1p2__ls1p2/MNIST_lif_FF_v2_20260413_195439_final_model.pth,DONE
lif__id007__tau4__vth0p7__lr0p001__a4__ig1p2__ls0p8,lif,0.9716,0.971358190983587,83119575500.0,0.9704,0.9701640901899844,83117583000.0,./result/fintune/runs/lif__id007__tau4__vth0p7__lr0p001__a4__ig1p2__ls0p8/MNIST_lif_FF_v2_20260413_202131.csv,./result/fintune/runs/lif__id007__tau4__vth0p7__lr0p001__a4__ig1p2__ls0p8/MNIST_lif_FF_v2_20260413_202131_summary.json,./result/fintune/runs/lif__id007__tau4__vth0p7__lr0p001__a4__ig1p2__ls0p8/MNIST_lif_FF_v2_20260413_202131_best_model.pth,./result/fintune/runs/lif__id007__tau4__vth0p7__lr0p001__a4__ig1p2__ls0p8/MNIST_lif_FF_v2_20260413_202131_final_model.pth,DONE
lif__id006__tau2p5__vth1__lr0p0008__a4__ig0p8__ls1p2,lif,0.9352,0.934444689135296,79256839500.0,0.9343,0.9335156931381494,79254367500.0,./result/fintune/runs/lif__id006__tau2p5__vth1__lr0p0008__a4__ig0p8__ls1p2/MNIST_lif_FF_v2_20260413_202131.csv,./result/fintune/runs/lif__id006__tau2p5__vth1__lr0p0008__a4__ig0p8__ls1p2/MNIST_lif_FF_v2_20260413_202131_summary.json,./result/fintune/runs/lif__id006__tau2p5__vth1__lr0p0008__a4__ig0p8__ls1p2/MNIST_lif_FF_v2_20260413_202131_best_model.pth,./result/fintune/runs/lif__id006__tau2p5__vth1__lr0p0008__a4__ig0p8__ls1p2/MNIST_lif_FF_v2_20260413_202131_final_model.pth,DONE
lif__id009__tau1p5__vth1__lr0p0005__a4__ig1__ls1,lif,0.9589,0.9585716584371496,76906324000.0,0.9568,0.9564435993748152,76902988500.0,./result/fintune/runs/lif__id009__tau1p5__vth1__lr0p0005__a4__ig1__ls1/MNIST_lif_FF_v2_20260413_204826.csv,./result/fintune/runs/lif__id009__tau1p5__vth1__lr0p0005__a4__ig1__ls1/MNIST_lif_FF_v2_20260413_204826_summary.json,./result/fintune/runs/lif__id009__tau1p5__vth1__lr0p0005__a4__ig1__ls1/MNIST_lif_FF_v2_20260413_204826_best_model.pth,./result/fintune/runs/lif__id009__tau1p5__vth1__lr0p0005__a4__ig1__ls1/MNIST_lif_FF_v2_20260413_204826_final_model.pth,DONE
lif__id008__tau3__vth0p7__lr0p001__a8__ig1p5__ls1p2,lif,0.9733,0.9730801983690822,77008984500.0,0.9726,0.9723317231284944,76967311500.0,./result/fintune/runs/lif__id008__tau3__vth0p7__lr0p001__a8__ig1p5__ls1p2/MNIST_lif_FF_v2_20260413_204826.csv,./result/fintune/runs/lif__id008__tau3__vth0p7__lr0p001__a8__ig1p5__ls1p2/MNIST_lif_FF_v2_20260413_204826_summary.json,./result/fintune/runs/lif__id008__tau3__vth0p7__lr0p001__a8__ig1p5__ls1p2/MNIST_lif_FF_v2_20260413_204826_best_model.pth,./result/fintune/runs/lif__id008__tau3__vth0p7__lr0p001__a8__ig1p5__ls1p2/MNIST_lif_FF_v2_20260413_204826_final_model.pth,DONE
