run_id,epoch,model,hidden_dim,num_layers,T,tau,v_threshold,v_reset,tau_response,tau_refractory,input_gain,lr,weight_decay,loss_name,target_rate,rate_lambda,confidence_lambda,eval_subset,train_acc,train_macro_precision,train_macro_recall,train_macro_f1,test_acc,test_macro_precision,test_macro_recall,test_macro_f1,best_test_acc,best_test_macro_f1,train_time_sec,test_time_sec,epoch_time_sec,train_speed,test_speed,train_latency_ms_per_sample,test_latency_ms_per_sample,train_cpu_memory_mb,test_cpu_memory_mb,train_gpu_memory_allocated_mb,train_gpu_memory_reserved_mb,test_gpu_memory_allocated_mb,test_gpu_memory_reserved_mb,test_confusion_path,best_test_confusion_path,final_test_confusion_path,best_model_path,final_model_path,layer_0_loss,layer_0_cls_loss,layer_0_mean_rate,layer_0_goodness,layer_1_loss,layer_1_cls_loss,layer_1_mean_rate,layer_1_goodness,layer_2_loss,layer_2_cls_loss,layer_2_mean_rate,layer_2_goodness,train_total_spikes,train_global_spike_rate,train_dense_synops,train_event_synops,train_energy_proxy_synops,train_event_to_dense_ratio,train_layer_0_spike_count,train_layer_0_spike_rate,train_layer_0_active_input_rate,train_layer_0_dense_synops,train_layer_0_event_synops,train_layer_0_event_to_dense_ratio,train_layer_1_spike_count,train_layer_1_spike_rate,train_layer_1_active_input_rate,train_layer_1_dense_synops,train_layer_1_event_synops,train_layer_1_event_to_dense_ratio,train_layer_2_spike_count,train_layer_2_spike_rate,train_layer_2_active_input_rate,train_layer_2_dense_synops,train_layer_2_event_synops,train_layer_2_event_to_dense_ratio,test_total_spikes,test_global_spike_rate,test_dense_synops,test_event_synops,test_energy_proxy_synops,test_event_to_dense_ratio,test_layer_0_spike_count,test_layer_0_spike_rate,test_layer_0_active_input_rate,test_layer_0_dense_synops,test_layer_0_event_synops,test_layer_0_event_to_dense_ratio,test_layer_1_spike_count,test_layer_1_spike_rate,test_layer_1_active_input_rate,test_layer_1_dense_synops,test_layer_1_event_synops,test_layer_1_event_to_dense_ratio,test_layer_2_spike_count,test_layer_2_spike_rate,test_layer_2_active_input_rate,test_layer_2_dense_synops,test_layer_2_event_synops,test_layer_2_event_to_dense_ratio
20260423_234508,1,lif,500,2,10,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,ce,0.15,0.02,0.0,0,0.1261,0.34289529811597597,0.1276983713464495,0.0662322277100664,0.1283,0.33037680849995127,0.1297919615642481,0.06750507388514553,0.1283,0.06750507388514553,3.314639091491699,0.7407829761505127,7.927506446838379,17300.224373505855,13499.230303543307,0.05780271853187254,0.07407829761505128,1389.81640625,1437.93359375,652.63232421875,770.0,673.24609375,870.0,,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_best_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_final_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_best_model.pth,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_final_model.pth,1.242900971855436,1.2426841471876418,0.04638545561049666,1.6908918108258928,1.8689812421798706,1.868565857410431,0.005967487822220262,0.375980800815991,2.2984362159456526,2.2984362159456526,0.00014997210631203676,-0.0003662109375,25702773.0,0.04241381683168317,388200000000.0,55175157700.0,55175157700.0,0.14213075141679546,20300834.0,0.06766944666666666,0.19120229591836735,235200000000.0,44970780000.0,0.19120229591836735,5396070.0,0.0179869,0.06766944666666666,150000000000.0,10150417000.0,0.06766944666666666,5869.0,0.0009781666666666667,0.0179869,3000000000.0,53960700.0,0.0179869,4442278.0,0.04398295049504951,64700000000.0,9309158680.0,9309158680.0,0.14388189613601238,3487045.0,0.0697409,0.1927575255102041,39200000000.0,7556095000.0,0.1927575255102041,954118.0,0.01908236,0.0697409,25000000000.0,1743522500.0,0.0697409,1115.0,0.001115,0.01908236,500000000.0,9541180.0,0.01908236
20260423_234508,2,lif,500,2,10,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,ce,0.15,0.02,0.0,0,0.44416666666666665,0.6773370095855068,0.4472762696932703,0.44523889137442535,0.4634,0.5919056967410418,0.4682905916552378,0.4664644643658081,0.4634,0.4664644643658081,3.42501163482666,0.7471780776977539,7.718777418136597,16742.716847121654,13383.690312237946,0.05972746293991804,0.0747178077697754,1451.21875,1440.31640625,652.63232421875,870.0,673.24609375,870.0,,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_best_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_final_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_best_model.pth,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_final_model.pth,0.47410433420113157,0.4740086112703596,0.08120896135057722,6.674897875104632,0.8012956295694623,0.8010551120553698,0.041204058698245456,4.333444220679147,2.0101847733770097,2.0101847733770097,0.008232422306069307,0.31678989955357145,46967792.0,0.07750460726072607,388200000000.0,58920465560.0,58920465560.0,0.15177863359093252,27512766.0,0.09170922,0.19120229591836735,235200000000.0,44970780000.0,0.19120229591836735,19330256.0,0.06443418666666667,0.09170922,150000000000.0,13756383000.0,0.09170922,124770.0,0.020795,0.06443418666666667,3000000000.0,193302560.0,0.06443418666666667,8104812.0,0.08024566336633664,64700000000.0,9946699220.0,9946699220.0,0.1537356911901082,4713824.0,0.09427648,0.1927575255102041,39200000000.0,7556095000.0,0.1927575255102041,3369222.0,0.06738444,0.09427648,25000000000.0,2356912000.0,0.09427648,21766.0,0.021766,0.06738444,500000000.0,33692220.0,0.06738444
20260423_234508,3,lif,500,2,10,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,ce,0.15,0.02,0.0,0,0.7023166666666667,0.7790186638452573,0.7046117249557146,0.7117616904567184,0.7109,0.782311422897086,0.7146428258786701,0.7187342247324062,0.7109,0.7187342247324062,3.407679557800293,0.743964672088623,7.671199083328247,16827.87334529083,13441.498467831512,0.059425215502934794,0.07439646720886231,1441.32421875,1440.53125,652.63232421875,870.0,673.24609375,870.0,,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_best_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_final_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_best_model.pth,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_final_model.pth,0.362443066069058,0.3623823459659304,0.09492569044232368,7.672910417829241,0.5269193457705634,0.5268152334860393,0.0781679627086435,8.31986393247332,1.224692097731999,1.224692097731999,0.039264963673693795,1.366455078125,55810397.0,0.09209636468646865,388200000000.0,59777314420.0,59777314420.0,0.15398586919113857,29085245.0,0.09695081666666666,0.19120229591836735,235200000000.0,44970780000.0,0.19120229591836735,26391192.0,0.08797064,0.09695081666666666,150000000000.0,14542622500.0,0.09695081666666666,333960.0,0.05566,0.08797064,3000000000.0,263911920.0,0.08797064,9618442.0,0.09523209900990098,64700000000.0,10091903870.0,10091903870.0,0.15597996707882536,4980018.0,0.09960036,0.1927575255102041,39200000000.0,7556095000.0,0.1927575255102041,4579987.0,0.09159974,0.09960036,25000000000.0,2490009000.0,0.09960036,58437.0,0.058437,0.09159974,500000000.0,45799870.0,0.09159974
20260423_234508,4,lif,500,2,10,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,ce,0.15,0.02,0.0,0,0.7962166666666667,0.8266254103476264,0.7951930948523502,0.7982622121994225,0.8058,0.8327180679346629,0.8053557427848343,0.8070518798773325,0.8058,0.8070518798773325,3.409825325012207,0.7336752414703369,7.653748512268066,16817.28374159304,13630.008803294622,0.059462634713522027,0.0733675241470337,1440.53125,1440.51953125,652.63232421875,870.0,673.24609375,870.0,,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_best_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_final_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_best_model.pth,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_final_model.pth,0.28511880551065716,0.28506432473659515,0.09781173137681824,7.425510099955967,0.3971660541636603,0.3970987434898104,0.09202439923371587,8.81878934587751,0.781076899596623,0.781076899596623,0.06092773670596736,1.9941231863839286,58691933.0,0.09685137458745875,388200000000.0,60077515500.0,60077515500.0,0.15475918469860897,29640003.0,0.09880001,0.19120229591836735,235200000000.0,44970780000.0,0.19120229591836735,28673400.0,0.095578,0.09880001,150000000000.0,14820001500.0,0.09880001,378530.0,0.06308833333333333,0.095578,3000000000.0,286734000.0,0.095578,10107283.0,0.10007210891089109,64700000000.0,10142396790.0,10142396790.0,0.1567603831530139,5073241.0,0.10146482,0.1927575255102041,39200000000.0,7556095000.0,0.1927575255102041,4968129.0,0.09936258,0.10146482,25000000000.0,2536620500.0,0.10146482,65913.0,0.065913,0.09936258,500000000.0,49681290.0,0.09936258
20260423_234508,5,lif,500,2,10,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,ce,0.15,0.02,0.0,0,0.84895,0.8665062820879724,0.8472773443337129,0.8504464137005019,0.8593,0.8736893994556428,0.8581772844402946,0.8603733771172835,0.8593,0.8603733771172835,3.426867723464966,0.73647141456604,7.669355392456055,16733.64851737507,13578.259525378076,0.059759830557075996,0.073647141456604,1441.30859375,1440.765625,652.63232421875,870.0,673.24609375,870.0,,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_best_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_final_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_best_model.pth,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_final_model.pth,0.23795991923127854,0.23791055168424333,0.10032725919570241,7.154827083860125,0.3158864847251347,0.3158348820039204,0.0992457430277552,8.820484842572894,0.5876209352697644,0.5876209352697644,0.06279140072209495,2.656947544642857,61866451.0,0.10208985313531353,388200000000.0,60595761260.0,60595761260.0,0.15609418150437918,30632706.0,0.10210902,0.19120229591836735,235200000000.0,44970780000.0,0.19120229591836735,30862826.0,0.10287608666666667,0.10210902,150000000000.0,15316353000.0,0.10210902,370919.0,0.06181983333333333,0.10287608666666667,3000000000.0,308628260.0,0.10287608666666667,10645558.0,0.10540156435643565,64700000000.0,10231000320.0,10231000320.0,0.15812983493044822,5243047.0,0.10486094,0.1927575255102041,39200000000.0,7556095000.0,0.1927575255102041,5338182.0,0.10676364,0.10486094,25000000000.0,2621523500.0,0.10486094,64329.0,0.064329,0.10676364,500000000.0,53381820.0,0.10676364
20260423_234508,6,lif,500,2,10,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,ce,0.15,0.02,0.0,0,0.8793,0.8883469872875924,0.8783246252788883,0.8798074102146336,0.8787,0.8869922958758517,0.8778730575604602,0.8789250396604281,0.8787,0.8789250396604281,3.4400999546051025,0.7330119609832764,7.698535203933716,16669.28308964867,13642.342188503728,0.05999058235569724,0.07330119609832764,1441.265625,1441.27734375,652.63232421875,870.0,673.24609375,870.0,,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_best_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_final_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_best_model.pth,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_final_model.pth,0.20527960892234529,0.20523751952818461,0.10414229280182294,7.100654363632202,0.2595196376953806,0.25948262427534374,0.10704280542475837,8.759400503976005,0.48790259659290314,0.48790259659290314,0.06312203806425844,3.1004813058035716,65667998.0,0.10836303300330033,388200000000.0,61267122040.0,61267122040.0,0.1578236013395157,31925573.0,0.10641857666666667,0.19120229591836735,235200000000.0,44970780000.0,0.19120229591836735,33355554.0,0.11118518,0.10641857666666667,150000000000.0,15962786500.0,0.10641857666666667,386871.0,0.0644785,0.11118518,3000000000.0,333555540.0,0.11118518,11290695.0,0.1117890594059406,64700000000.0,10345049460.0,10345049460.0,0.15989257279752705,5462678.0,0.10925356,0.1927575255102041,39200000000.0,7556095000.0,0.1927575255102041,5761546.0,0.11523092,0.10925356,25000000000.0,2731339000.0,0.10925356,66471.0,0.066471,0.11523092,500000000.0,57615460.0,0.11523092
20260423_234508,7,lif,500,2,10,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,ce,0.15,0.02,0.0,0,0.8948666666666667,0.9002178721950722,0.8939885143706192,0.894534953224729,0.8963,0.9012086421407528,0.8957484021730577,0.8960374593399987,0.8963,0.8960374593399987,3.409395694732666,0.7354042530059814,7.627698659896851,16819.402948327006,13597.963241475385,0.05945514255602445,0.07354042530059815,1441.28515625,1441.30078125,652.63232421875,870.0,673.24609375,870.0,,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_best_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_final_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_best_model.pth,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_final_model.pth,0.17671722386564528,0.17668286498103822,0.10856986258711133,7.209643295833042,0.21401669404336385,0.213993034192494,0.1156912227826459,8.86523962020874,0.4136059986693518,0.4136059986693518,0.06590140504496438,3.429408482142857,69818929.0,0.11521275412541254,388200000000.0,61988650630.0,61988650630.0,0.15968225303967026,33313818.0,0.11104606,0.19120229591836735,235200000000.0,44970780000.0,0.19120229591836735,36096163.0,0.12032054333333334,0.11104606,150000000000.0,16656909000.0,0.11104606,408948.0,0.068158,0.12032054333333334,3000000000.0,360961630.0,0.12032054333333334,11996862.0,0.11878081188118812,64700000000.0,10467809220.0,10467809220.0,0.16178994157650695,5698869.0,0.11397738,0.1927575255102041,39200000000.0,7556095000.0,0.1927575255102041,6227972.0,0.12455944,0.11397738,25000000000.0,2849434500.0,0.11397738,70021.0,0.070021,0.12455944,500000000.0,62279720.0,0.12455944
20260423_234508,8,lif,500,2,10,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,ce,0.15,0.02,0.0,0,0.9112666666666667,0.9143308190167267,0.9105837203320604,0.9108481170884435,0.9111,0.9138436089753496,0.9105309944282183,0.9107031822677207,0.9111,0.9107031822677207,3.4168801307678223,0.7502682209014893,7.692779541015625,16782.56122702027,13328.566666444221,0.05958566076255271,0.07502682209014892,1441.3046875,1441.3125,652.63232421875,870.0,673.24609375,870.0,,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_best_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_final_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_best_model.pth,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_final_model.pth,0.15571526437997818,0.15568806124585016,0.1131474796150412,7.338958876473563,0.18622502045972006,0.18621209476675307,0.12471260290060725,8.944475650787354,0.35813091908182415,0.35813091908182415,0.06930646885718618,3.7034912109375,73684608.0,0.12159176237623763,388200000000.0,62677268430.0,62677268430.0,0.16145612681607419,34640514.0,0.11546838,0.19120229591836735,235200000000.0,44970780000.0,0.19120229591836735,38623143.0,0.12874381,0.11546838,150000000000.0,17320257000.0,0.11546838,420951.0,0.0701585,0.12874381,3000000000.0,386231430.0,0.12874381,12654993.0,0.1252969603960396,64700000000.0,10585721040.0,10585721040.0,0.16361238083462132,5926115.0,0.1185223,0.1927575255102041,39200000000.0,7556095000.0,0.1927575255102041,6656854.0,0.13313708,0.1185223,25000000000.0,2963057500.0,0.1185223,72024.0,0.072024,0.13313708,500000000.0,66568540.0,0.13313708
20260423_234508,9,lif,500,2,10,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,ce,0.15,0.02,0.0,0,0.9204166666666667,0.9228987764946591,0.9194982402481578,0.9199779237782654,0.9181,0.9205532946480417,0.9173780883242075,0.9177936475113408,0.9181,0.9177936475113408,3.394113540649414,0.7160742282867432,7.590298414230347,16895.133092403285,13965.03268093545,0.0591886429382222,0.07160742282867431,1441.32421875,1445.35546875,652.63232421875,870.0,673.24609375,870.0,,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_best_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_final_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_best_model.pth,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_final_model.pth,0.13823512781943595,0.13821372017264366,0.11731584050825664,7.503040484019688,0.16085806169680186,0.16085181385278702,0.13249018362590245,9.05159432547433,0.3152293711900711,0.3152293711900711,0.07090506649443082,3.9902169363839284,76940263.0,0.1269641303630363,388200000000.0,63259398920.0,63259398920.0,0.16295569015971148,35762263.0,0.11920754333333333,0.19120229591836735,235200000000.0,44970780000.0,0.19120229591836735,40748742.0,0.13582914,0.11920754333333333,150000000000.0,17881131500.0,0.11920754333333333,429258.0,0.071543,0.13582914,3000000000.0,407487420.0,0.13582914,13208514.0,0.13077736633663367,64700000000.0,10684829560.0,10684829560.0,0.1651441972179289,6117107.0,0.12234214,0.1927575255102041,39200000000.0,7556095000.0,0.1927575255102041,7018106.0,0.14036212,0.12234214,25000000000.0,3058553500.0,0.12234214,73301.0,0.073301,0.14036212,500000000.0,70181060.0,0.14036212
20260423_234508,10,lif,500,2,10,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,ce,0.15,0.02,0.0,0,0.9284666666666667,0.9301617754391474,0.9278595235449505,0.927888631705345,0.9241,0.92607282491793,0.9235409826409139,0.9235652337055962,0.9241,0.9235652337055962,3.416447639465332,0.7314400672912598,7.711319923400879,16784.685747144726,13671.660122521009,0.059578118712774346,0.07314400672912598,1451.359375,1441.375,652.63232421875,870.0,673.24609375,870.0,,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_best_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_final_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_best_model.pth,./result/new/MNIST_lif_LocalGreedy_v2_20260423_234508_final_model.pth,0.12394763263208526,0.12393065808074814,0.12090847321919032,7.617826325552804,0.14245484928999627,0.14245238261563437,0.13918110728263855,9.222291810171944,0.28256418236664366,0.28256418236664366,0.07270368561148643,4.200212751116071,80031712.0,0.1320655313531353,388200000000.0,63843185940.0,63843185940.0,0.16445952071097372,36890923.0,0.12296974333333334,0.19120229591836735,235200000000.0,44970780000.0,0.19120229591836735,42694444.0,0.14231481333333335,0.12296974333333334,150000000000.0,18445461500.0,0.12296974333333334,446345.0,0.07439083333333334,0.14231481333333335,3000000000.0,426944440.0,0.14231481333333335,13737584.0,0.13601568316831683,64700000000.0,10785063590.0,10785063590.0,0.16669340942812982,6310927.0,0.12621854,0.1927575255102041,39200000000.0,7556095000.0,0.1927575255102041,7350509.0,0.14701018,0.12621854,25000000000.0,3155463500.0,0.12621854,76148.0,0.076148,0.14701018,500000000.0,73505090.0,0.14701018
