epoch,train_acc,train_macro_f1,test_acc,test_macro_f1,best_test_acc,mean_total_spikes,mean_spike_rate,mean_event_synops_est,mean_dense_synops_est,mean_event_to_dense_ratio,mean_input_events,latency_mean_all,latency_mean_correct,latency_std_correct,train_speed_samples_per_s,test_speed_samples_per_s,train_time_sec,test_time_sec,epoch_time_sec,train_latency_ms_per_sample,test_latency_ms_per_sample,train_cpu_memory_mb,test_cpu_memory_mb,train_gpu_memory_allocated_mb,train_gpu_memory_reserved_mb,test_gpu_memory_allocated_mb,test_gpu_memory_reserved_mb,lr,layer_0_loss,layer_1_loss
1,0.7587716238839286,0.7469112801138931,0.7668,0.7541529926784218,0.7668,3538.501953125,0.35385018587112427,2776179.75,14060000.0,0.19745232164859772,2015.4056396484375,3.9033000469207764,3.5641627311706543,2.7454004287719727,6364.7476604975445,2824.3541340625216,9.42692518234253,3.540632486343384,31.900063037872314,0.15711541970570883,0.35406324863433836,3332.046875,3832.7578125,3269.833984375,3956.0,2913.244140625,5042.0,0.001,0.012422583465065275,-0.0037646693194151987
2,0.8483014787946429,0.8464599419434995,0.8551,0.8527682205827093,0.8551,3984.99365234375,0.39849933981895447,2998476.25,14060000.0,0.2132628858089447,2015.4056396484375,3.4205000400543213,2.9747397899627686,2.318629503250122,6324.315562584297,2723.7187014219326,9.487192630767822,3.6714510917663574,32.64334416389465,0.1581198771794637,0.36714510917663573,3835.90625,3836.1875,3269.970703125,5044.0,2913.244140625,5044.0,0.001,-0.20388724654912949,-0.010601742791810207
3,0.8954206194196429,0.894289682801559,0.9004,0.8990282207990898,0.9004,3930.394775390625,0.3930394649505615,2970979.25,14060000.0,0.21130722761154175,2015.4056396484375,3.3178000450134277,3.0356507301330566,2.368523120880127,5740.141786097547,2896.1437609508107,10.452703475952148,3.452867269515991,34.22464036941528,0.17421172459920248,0.3452867269515991,3873.25,3835.31640625,3269.970703125,5044.0,2913.244140625,5044.0,0.001,-0.22688542093549455,-0.020076810914490904
4,0.9072963169642857,0.9065676490175749,0.9092,0.9080172466406721,0.9092,3902.341552734375,0.3902341425418854,2954823.75,14060000.0,0.21015815436840057,2015.4056396484375,3.174499988555908,2.9039814472198486,2.311840772628784,5457.553314418772,2720.0896617689796,10.993937492370605,3.676349401473999,35.42884826660156,0.1832322915395101,0.3676349401473999,3835.31640625,3834.51171875,3269.970703125,5044.0,2913.244140625,5044.0,0.001,-0.23677067777940206,-0.03684654565794127
5,0.9247872488839286,0.9242632375819919,0.9269,0.9259856614204937,0.9269,3846.70361328125,0.38467031717300415,2926112.75,14060000.0,0.20811615884304047,2015.4056396484375,3.2170000076293945,3.0249218940734863,2.3720974922180176,5845.200377778272,2877.5168815466227,10.264832019805908,3.4752185344696045,36.14199709892273,0.17108053366343182,0.34752185344696046,4170.41015625,3835.09765625,3269.970703125,5044.0,2913.244140625,5044.0,0.001,-0.24276828340121678,-0.054517684770481925
6,0.9301583426339286,0.9296190287234719,0.9294,0.9285125516508914,0.9294,3783.22412109375,0.37832245230674744,2892086.5,14060000.0,0.20569604635238647,2015.4056396484375,3.180999994277954,2.9956960678100586,2.3558011054992676,5402.965709176842,2662.3589596326387,11.10501217842102,3.7560675144195557,37.1074423789978,0.18508353630701702,0.37560675144195554,3835.1015625,3835.58984375,3269.970703125,5044.0,2913.244140625,5044.0,0.001,-0.2464694157242775,-0.07459787492241178
7,0.9384416852678571,0.9380826886256395,0.9391,0.938558160200094,0.9391,3725.946044921875,0.37259459495544434,2859694.5,14060000.0,0.20339219272136688,2015.4056396484375,3.2046000957489014,3.048983097076416,2.3106026649475098,5493.24074111465,2505.7676571378524,10.922514200210571,3.990792989730835,37.24971604347229,0.18204190333684286,0.3990792989730835,4128.96875,3835.53515625,3269.970703125,5044.0,2913.244140625,5044.0,0.001,-0.249054776770728,-0.10071548021265439
8,0.9381452287946429,0.9375143350760267,0.94,0.9391439031876315,0.94,3668.8447265625,0.3668844401836395,2830916.0,14060000.0,0.20134536921977997,2015.4056396484375,3.0445001125335693,2.8797872066497803,2.184572696685791,5653.411167611672,2704.776357195999,10.613061428070068,3.6971633434295654,35.97581338882446,0.17688435713450115,0.36971633434295653,3893.578125,3835.6171875,3269.970703125,5044.0,2913.244140625,5044.0,0.001,-0.25109638060842243,-0.12843506730028562
9,0.9417898995535714,0.9413202785470192,0.9441,0.9435955011847639,0.9441,3616.78369140625,0.3616783618927002,2805785.5,14060000.0,0.19955798983573914,2015.4056396484375,3.069999933242798,2.919182300567627,2.1997809410095215,5029.1565622199105,2954.5635293951073,11.930429935455322,3.384594678878784,36.89670252799988,0.19884049892425537,0.3384594678878784,3835.62109375,3836.22265625,3269.970703125,5044.0,2913.244140625,5044.0,0.001,-0.25224641604082926,-0.15028912893363408
10,0.9416678292410714,0.9411081530196407,0.9428,0.9421570387049863,0.9441,3576.95361328125,0.3576953411102295,2786762.5,14060000.0,0.19820497930049896,2015.4056396484375,3.043600082397461,2.8945693969726562,2.175947666168213,5716.914652768723,2698.224730261414,10.495171546936035,3.7061405181884766,36.101486682891846,0.17491952578226724,0.37061405181884766,3836.22265625,3835.5625,3269.970703125,5044.0,2913.244140625,5044.0,0.001,-0.25365214475563597,-0.16122350416013173
11,0.9453996930803571,0.9450089048455024,0.9472,0.9468105811371113,0.9472,3531.465576171875,0.3531465232372284,2763641.0,14060000.0,0.19656053185462952,2015.4056396484375,3.0336999893188477,2.875422239303589,2.114166498184204,5308.5546735489215,2765.3786500813994,11.30251145362854,3.6161413192749023,36.37487983703613,0.188375190893809,0.36161413192749026,4108.25,3834.51171875,3269.970703125,5044.0,2913.244140625,5044.0,0.001,-0.25419001281261444,-0.16826450186116354
12,0.9472830636160714,0.9469335365775562,0.949,0.9485952992267181,0.949,3490.87109375,0.349087119102478,2741688.25,14060000.0,0.19499917328357697,2015.4056396484375,2.968600034713745,2.8222339153289795,2.1035146713256836,5143.267551395533,2807.2202575856218,11.665735721588135,3.5622427463531494,36.60471725463867,0.19442892869313558,0.3562242746353149,3834.5078125,3835.83984375,3269.970703125,5044.0,2913.244140625,5044.0,0.001,-0.25521994275706156,-0.17376231189285005
