epoch,train_acc,train_macro_f1,test_acc,test_macro_f1,best_test_acc,mean_total_spikes,mean_spike_rate,mean_event_synops_est,mean_dense_synops_est,mean_event_to_dense_ratio,mean_input_events,latency_mean_all,latency_mean_correct,latency_std_correct,train_speed_samples_per_s,test_speed_samples_per_s,train_time_sec,test_time_sec,epoch_time_sec,train_latency_ms_per_sample,test_latency_ms_per_sample,train_cpu_memory_mb,test_cpu_memory_mb,train_gpu_memory_allocated_mb,train_gpu_memory_reserved_mb,test_gpu_memory_allocated_mb,test_gpu_memory_reserved_mb,lr,layer_0_loss,layer_1_loss
1,0.7968052455357143,0.787333437791857,0.7975,0.7885957262075132,0.7975,2499.167236328125,0.2499167025089264,2173259.0,14060000.0,0.15457035601139069,2015.4056396484375,3.488800048828125,3.049028158187866,2.4095897674560547,5877.543516220275,3055.1959004194873,10.208346366882324,3.2731125354766846,33.44311451911926,0.1701391061147054,0.32731125354766843,3029.0,3675.04296875,3456.705078125,4096.0,2944.1953125,5182.0,0.001,1.0579819806984492,-0.020980772948990176
2,0.8499058314732143,0.8464758421062921,0.8523,0.8489636502986067,0.8523,2835.561279296875,0.28355613350868225,2366742.0,14060000.0,0.1683315634727478,2015.4056396484375,3.6161999702453613,3.2987210750579834,2.470795154571533,5929.29048990852,2905.943088936337,10.11925458908081,3.441223621368408,34.97819209098816,0.16865424315134683,0.34412236213684083,3831.55078125,3680.3359375,3456.841796875,5182.0,2944.1953125,5182.0,0.001,0.056741251543696435,-0.07701281857277666
3,0.8829868861607143,0.8816001597462085,0.8851,0.8838154107891466,0.8851,3029.10205078125,0.3029102087020874,2485061.0,14060000.0,0.1767468899488449,2015.4056396484375,3.632999897003174,3.303694486618042,2.408268928527832,5923.256457167879,3213.73226187062,10.129563093185425,3.111646890640259,33.03152370452881,0.1688260515530904,0.3111646890640259,4023.234375,3681.3984375,3456.841796875,5182.0,2944.1953125,5182.0,0.001,-0.028405639542532817,-0.1393419142280306
4,0.8672572544642857,0.8656172827453993,0.8656,0.8638151156844807,0.8851,3242.5966796875,0.3242596685886383,2599734.75,14060000.0,0.18490289151668549,2015.4056396484375,4.23799991607666,3.8225507736206055,2.61212158203125,5811.501792073145,2997.0193465942425,10.324353694915771,3.336648464202881,34.993207931518555,0.17207256158192952,0.3336648464202881,3827.3828125,3681.84765625,3456.841796875,5182.0,2944.1953125,5182.0,0.001,-0.11015404867274421,-0.17111623180764063
5,0.8833356584821429,0.8816154067061206,0.8836,0.8820076752985294,0.8851,3395.275634765625,0.33952751755714417,2684065.25,14060000.0,0.1909007877111435,2015.4056396484375,4.043000221252441,3.70699405670166,2.610708713531494,5564.236448139477,2908.007207508022,10.783150672912598,3.4387810230255127,34.920313119888306,0.17971917788187664,0.3438781023025513,3821.84765625,3681.26953125,3456.841796875,5182.0,2944.1953125,5182.0,0.001,-0.18751436791249684,-0.1789951899221965
6,0.9046979631696429,0.9036832541681561,0.9048,0.903852768848249,0.9048,3450.270751953125,0.34502705931663513,2712949.0,14060000.0,0.1929551213979721,2015.4056396484375,3.649899959564209,3.391246795654297,2.4310333728790283,6159.0389717470525,2927.560552103206,9.741779565811157,3.4158132076263428,33.511225938797,0.1623629927635193,0.34158132076263426,3857.15234375,3681.27734375,3456.841796875,5182.0,2944.1953125,5182.0,0.001,-0.22138631343841553,-0.18192449318511145
7,0.9213344029017857,0.9207039704846208,0.9211,0.9203943185775787,0.9211,3454.060791015625,0.34540605545043945,2714241.75,14060000.0,0.19304707646369934,2015.4056396484375,3.501800060272217,3.2763001918792725,2.3583486080169678,5642.029869741868,3038.8601028761445,10.634470462799072,3.290707588195801,35.01874542236328,0.17724117437998455,0.3290707588195801,3681.0234375,3681.3828125,3456.841796875,5182.0,2944.1953125,5182.0,0.001,-0.2356881776026317,-0.18478656773056304
8,0.9297746930803571,0.9289842868009114,0.932,0.9312999066503591,0.932,3449.57763671875,0.34495776891708374,2712375.0,14060000.0,0.19291427731513977,2015.4056396484375,3.4117000102996826,3.2292919158935547,2.2978110313415527,5974.006551560244,2918.3331583434447,10.043510913848877,3.4266135692596436,34.54633069038391,0.16739184856414796,0.34266135692596433,3958.875,3681.76953125,3456.841796875,5182.0,2944.1953125,5182.0,0.001,-0.2420587603534971,-0.18853416932480677
9,0.9356689453125,0.935031956196695,0.9347,0.9340485510265945,0.9347,3436.03369140625,0.34360337257385254,2706969.25,14060000.0,0.1925298273563385,2015.4056396484375,3.390199899673462,3.222745180130005,2.2868592739105225,6039.227656909188,3131.0010235854634,9.93504524230957,3.193866729736328,33.191643476486206,0.16558408737182617,0.3193866729736328,3681.77734375,3681.76171875,3456.841796875,5182.0,2944.1953125,5182.0,0.001,-0.24573666283062526,-0.19215794439826692
10,0.9400809151785714,0.9395045652318718,0.9381,0.9376070901393817,0.9381,3423.62646484375,0.3423626124858856,2702077.25,14060000.0,0.19218188524246216,2015.4056396484375,3.452899932861328,3.3080694675445557,2.330209732055664,5929.946450790538,2837.084486703162,10.118135213851929,3.524745225906372,34.22296214103699,0.16863558689753214,0.3524745225906372,3803.01171875,3681.37109375,3456.841796875,5182.0,2944.1953125,5182.0,0.001,-0.2485521701829774,-0.1938815095594951
