epoch,train_acc,train_macro_f1,test_acc,test_macro_f1,best_test_acc,mean_total_spikes,mean_spike_rate,mean_event_synops_est,mean_dense_synops_est,mean_event_to_dense_ratio,mean_input_events,latency_mean_all,latency_mean_correct,latency_std_correct,train_speed_samples_per_s,test_speed_samples_per_s,train_time_sec,test_time_sec,epoch_time_sec,train_latency_ms_per_sample,test_latency_ms_per_sample,train_cpu_memory_mb,test_cpu_memory_mb,train_gpu_memory_allocated_mb,train_gpu_memory_reserved_mb,test_gpu_memory_allocated_mb,test_gpu_memory_reserved_mb,lr,layer_0_loss,layer_1_loss
1,0.7612827845982143,0.7526927661206421,0.7682,0.7591020285924784,0.7682,2956.6396484375,0.369579941034317,2405213.75,11248001.0,0.21383479237556458,1854.676025390625,3.2451999187469482,2.9478001594543457,2.1533281803131104,6073.3357891347005,2762.8604665562657,9.879249572753906,3.6194372177124023,31.003620386123657,0.16465415954589843,0.36194372177124023,5005.37890625,5130.8515625,2503.197265625,2862.0,2343.3984375,3732.0,0.001,0.08768270475723382,-0.0030394223077954458
2,0.8444126674107143,0.8422694993449771,0.8497,0.8472264537757684,0.8497,3366.79833984375,0.42084985971450806,2610028.25,11248001.0,0.2320437729358673,1854.676025390625,3.014699935913086,2.6654112339019775,1.9548801183700562,6998.525616198404,3467.7801342017974,8.57323431968689,2.8836891651153564,27.790462017059326,0.14288723866144817,0.2883689165115356,5238.72265625,5131.51171875,2503.333984375,3732.0,2343.3984375,3732.0,0.001,-0.19701270226921355,-0.007885557632627231
3,0.89111328125,0.8895727179223807,0.8945,0.8926293744766556,0.8945,3307.597900390625,0.413449764251709,2579855.25,11248001.0,0.22936123609542847,1854.676025390625,2.8866000175476074,2.6653995513916016,1.9114418029785156,7262.412814580382,3083.793779584427,8.261717081069946,3.2427589893341064,27.03934669494629,0.1376952846844991,0.32427589893341063,5131.51171875,5131.06640625,2503.333984375,3732.0,2343.3984375,3732.0,0.001,-0.22340474809919084,-0.014092680865100451
4,0.9045061383928571,0.9034768794818102,0.9062,0.9049325422391788,0.9062,3310.54931640625,0.4138185977935791,2580526.0,11248001.0,0.22942087054252625,1854.676025390625,2.8310999870300293,2.631207227706909,1.8846536874771118,7355.586705965716,3542.951798145787,8.157065153121948,2.822505235671997,26.88144588470459,0.1359510858853658,0.2822505235671997,5131.1328125,5131.07421875,2503.333984375,3732.0,2343.3984375,3732.0,0.001,-0.2344707612480436,-0.026601652348680154
5,0.9218575613839286,0.9212890164745599,0.9223,0.9214973162936524,0.9223,3271.7119140625,0.40896400809288025,2560497.0,11248001.0,0.22764024138450623,1854.676025390625,2.882200002670288,2.7362029552459717,1.9296749830245972,7407.340559234871,3480.527800298238,8.100073099136353,2.8731274604797363,27.356595993041992,0.13500121831893921,0.28731274604797363,5281.8203125,5131.66796875,2503.583984375,3732.0,2343.3984375,3732.0,0.001,-0.24145556028400147,-0.04083570731537683
6,0.9289202008928571,0.9284448607024958,0.9294,0.9287023451017127,0.9294,3232.937255859375,0.4041171371936798,2539551.75,11248001.0,0.22577807307243347,1854.676025390625,2.8587000370025635,2.7288572788238525,1.9424338340759277,7487.656036943328,3427.843645431377,8.013188600540161,2.917285919189453,27.14436626434326,0.133553143342336,0.2917285919189453,5319.671875,5131.44140625,2503.333984375,3732.0,2343.3984375,3732.0,0.001,-0.24549885732786997,-0.056322053873113224
7,0.9401332310267857,0.9397660143364238,0.9401,0.9395120839569229,0.9401,3201.11181640625,0.4001389741897583,2521008.75,11248001.0,0.22412951290607452,1854.676025390625,2.8675999641418457,2.759068250656128,1.916712999343872,7566.387122896804,3513.2175859226845,7.9298083782196045,2.846393585205078,27.170986652374268,0.13216347297032674,0.2846393585205078,5131.9453125,5132.21484375,2503.333984375,3732.0,2343.3984375,3732.0,0.001,-0.24853485716240747,-0.07627168031675476
8,0.9367327008928571,0.936142240693519,0.9373,0.9364602022279798,0.9401,3173.08203125,0.3966352343559265,2507144.5,11248001.0,0.22289691865444183,1854.676025390625,2.642199993133545,2.503894090652466,1.7388780117034912,7325.527455637837,2391.605241535192,8.190536499023438,4.1812920570373535,34.11359000205994,0.13650894165039062,0.41812920570373535,5132.2890625,5132.2265625,2503.583984375,3732.0,2343.3984375,3732.0,0.001,-0.2506165855697223,-0.10061790155512947
9,0.9422607421875,0.941804253184079,0.9412,0.9404897390382674,0.9412,3141.0009765625,0.39262518286705017,2490346.0,11248001.0,0.22140346467494965,1854.676025390625,2.61899995803833,2.5013811588287354,1.7590450048446655,6280.983402324135,3431.958298428467,9.5526442527771,2.913788318634033,29.080247163772583,0.15921073754628498,0.2913788318634033,5374.671875,5132.55859375,2503.333984375,3732.0,2343.3984375,3732.0,0.001,-0.25201210592474255,-0.12572936287948064
10,0.9444754464285714,0.9440285660020095,0.944,0.9433147456087726,0.944,3120.46630859375,0.390058308839798,2480612.0,11248001.0,0.22053803503513336,1854.676025390625,2.594099998474121,2.4783897399902344,1.741127371788025,7747.152310553695,3406.0184873144344,7.744781255722046,2.9359793663024902,27.960111141204834,0.12907968759536742,0.293597936630249,5132.67578125,5133.45703125,2503.333984375,3732.0,2343.3984375,3732.0,0.001,-0.2535869692053114,-0.14348426354782923
