run_name,model,status,best_test_acc,best_test_macro_f1,best_test_event_synops,out_dir,csv_path,summary_path,cmd
alif__id046__tau4__vth1__lr0p001__a4__ig1__ls0p8__wd1em05__h384__L2,alif,DONE,0.7205882352941176,0.7174554643803941,30648893952.0,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/alif__id046__tau4__vth1__lr0p001__a4__ig1__ls0p8__wd1em05__h384__L2,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/alif__id046__tau4__vth1__lr0p001__a4__ig1__ls0p8__wd1em05__h384__L2/SHD_alif_FF_20260422_140530.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/alif__id046__tau4__vth1__lr0p001__a4__ig1__ls0p8__wd1em05__h384__L2/SHD_alif_FF_20260422_140530_summary.json,/home/yhxu/miniconda3/envs/sj39/bin/python /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/shd_ff_train_v1.py -device <GPU> -data-dir /home/public03/yhxu/spikingjelly/dataset/SHD -out-dir /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/alif__id046__tau4__vth1__lr0p001__a4__ig1__ls0p8__wd1em05__h384__L2 -b 256 -epochs 80 -j 4 -T 20 --model alif --hidden-dim 384 --num-layers 2 --lr 0.001 --weight-decay 1e-05 --input-gain 1.0 --v-threshold 1.0 --v-reset 0.0 --alpha 4.0 --label-scale 0.8 --tau 4.0
srm__id077__tr1p5__trefr10__vth1__lr0p001__a6__ig0p8__ls1p2__wd0p0001__h500__L2,srm,DONE,0.7034313725490197,0.7071415363208267,40340373000.0,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/srm__id077__tr1p5__trefr10__vth1__lr0p001__a6__ig0p8__ls1p2__wd0p0001__h500__L2,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/srm__id077__tr1p5__trefr10__vth1__lr0p001__a6__ig0p8__ls1p2__wd0p0001__h500__L2/SHD_srm_FF_20260423_034152.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/srm__id077__tr1p5__trefr10__vth1__lr0p001__a6__ig0p8__ls1p2__wd0p0001__h500__L2/SHD_srm_FF_20260423_034152_summary.json,/home/yhxu/miniconda3/envs/sj39/bin/python /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/shd_ff_train_v1.py -device <GPU> -data-dir /home/public03/yhxu/spikingjelly/dataset/SHD -out-dir /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/srm__id077__tr1p5__trefr10__vth1__lr0p001__a6__ig0p8__ls1p2__wd0p0001__h500__L2 -b 256 -epochs 80 -j 4 -T 20 --model srm --hidden-dim 500 --num-layers 2 --lr 0.001 --weight-decay 0.0001 --input-gain 0.8 --v-threshold 1.0 --v-reset 0.0 --alpha 6.0 --label-scale 1.2 --tau-response 1.5 --tau-refractory 10.0
srm__id076__tr4__trefr6__vth0p5__lr0p0008__a6__ig1__ls1p5__wd0__h384__L2,srm,DONE,0.6985294117647058,0.6909909456811424,38178232704.0,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/srm__id076__tr4__trefr6__vth0p5__lr0p0008__a6__ig1__ls1p5__wd0__h384__L2,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/srm__id076__tr4__trefr6__vth0p5__lr0p0008__a6__ig1__ls1p5__wd0__h384__L2/SHD_srm_FF_20260423_033942.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/srm__id076__tr4__trefr6__vth0p5__lr0p0008__a6__ig1__ls1p5__wd0__h384__L2/SHD_srm_FF_20260423_033942_summary.json,/home/yhxu/miniconda3/envs/sj39/bin/python /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/shd_ff_train_v1.py -device <GPU> -data-dir /home/public03/yhxu/spikingjelly/dataset/SHD -out-dir /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/srm__id076__tr4__trefr6__vth0p5__lr0p0008__a6__ig1__ls1p5__wd0__h384__L2 -b 256 -epochs 80 -j 4 -T 20 --model srm --hidden-dim 384 --num-layers 2 --lr 0.0008 --weight-decay 0.0 --input-gain 1.0 --v-threshold 0.5 --v-reset 0.0 --alpha 6.0 --label-scale 1.5 --tau-response 4.0 --tau-refractory 6.0
lif__id004__tau4__vth0p3__lr0p0003__a6__ig1p5__ls1p5__wd1em05__h384__L2,lif,DONE,0.6973039215686274,0.6949595737243324,39689059200.0,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/lif__id004__tau4__vth0p3__lr0p0003__a6__ig1p5__ls1p5__wd1em05__h384__L2,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/lif__id004__tau4__vth0p3__lr0p0003__a6__ig1p5__ls1p5__wd1em05__h384__L2/SHD_lif_FF_20260421_181240.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/lif__id004__tau4__vth0p3__lr0p0003__a6__ig1p5__ls1p5__wd1em05__h384__L2/SHD_lif_FF_20260421_181240_summary.json,/home/yhxu/miniconda3/envs/sj39/bin/python /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/shd_ff_train_v1.py -device <GPU> -data-dir /home/public03/yhxu/spikingjelly/dataset/SHD -out-dir /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/lif__id004__tau4__vth0p3__lr0p0003__a6__ig1p5__ls1p5__wd1em05__h384__L2 -b 256 -epochs 80 -j 4 -T 20 --model lif --hidden-dim 384 --num-layers 2 --lr 0.0003 --weight-decay 1e-05 --input-gain 1.5 --v-threshold 0.3 --v-reset 0.0 --alpha 6.0 --label-scale 1.5 --tau 4.0
lif__id021__tau4__vth1__lr0p0008__a6__ig1__ls1p5__wd0__h500__L1,lif,DONE,0.6948529411764706,0.6894775628970244,38536890000.0,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/lif__id021__tau4__vth1__lr0p0008__a6__ig1__ls1p5__wd0__h500__L1,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/lif__id021__tau4__vth1__lr0p0008__a6__ig1__ls1p5__wd0__h500__L1/SHD_lif_FF_20260422_013509.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/lif__id021__tau4__vth1__lr0p0008__a6__ig1__ls1p5__wd0__h500__L1/SHD_lif_FF_20260422_013509_summary.json,/home/yhxu/miniconda3/envs/sj39/bin/python /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/shd_ff_train_v1.py -device <GPU> -data-dir /home/public03/yhxu/spikingjelly/dataset/SHD -out-dir /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/lif__id021__tau4__vth1__lr0p0008__a6__ig1__ls1p5__wd0__h500__L1 -b 256 -epochs 80 -j 4 -T 20 --model lif --hidden-dim 500 --num-layers 1 --lr 0.0008 --weight-decay 0.0 --input-gain 1.0 --v-threshold 1.0 --v-reset 0.0 --alpha 6.0 --label-scale 1.5 --tau 4.0
alif__id028__tau3__vth0p7__lr0p001__a6__ig0p8__ls1__wd0p0001__h500__L2,alif,DONE,0.6948529411764706,0.6882801703187779,39359498500.0,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/alif__id028__tau3__vth0p7__lr0p001__a6__ig0p8__ls1__wd0p0001__h500__L2,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/alif__id028__tau3__vth0p7__lr0p001__a6__ig0p8__ls1__wd0p0001__h500__L2/SHD_alif_FF_20260422_051414.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/alif__id028__tau3__vth0p7__lr0p001__a6__ig0p8__ls1__wd0p0001__h500__L2/SHD_alif_FF_20260422_051414_summary.json,/home/yhxu/miniconda3/envs/sj39/bin/python /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/shd_ff_train_v1.py -device <GPU> -data-dir /home/public03/yhxu/spikingjelly/dataset/SHD -out-dir /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/alif__id028__tau3__vth0p7__lr0p001__a6__ig0p8__ls1__wd0p0001__h500__L2 -b 256 -epochs 80 -j 4 -T 20 --model alif --hidden-dim 500 --num-layers 2 --lr 0.001 --weight-decay 0.0001 --input-gain 0.8 --v-threshold 0.7 --v-reset 0.0 --alpha 6.0 --label-scale 1.0 --tau 3.0
alif__id037__tau4__vth0p3__lr0p001__a4__ig1__ls1p2__wd0__h500__L2,alif,DONE,0.6838235294117647,0.6812530432762622,39932035000.0,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/alif__id037__tau4__vth0p3__lr0p001__a4__ig1__ls1p2__wd0__h500__L2,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/alif__id037__tau4__vth0p3__lr0p001__a4__ig1__ls1p2__wd0__h500__L2/SHD_alif_FF_20260422_085849.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/alif__id037__tau4__vth0p3__lr0p001__a4__ig1__ls1p2__wd0__h500__L2/SHD_alif_FF_20260422_085849_summary.json,/home/yhxu/miniconda3/envs/sj39/bin/python /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/shd_ff_train_v1.py -device <GPU> -data-dir /home/public03/yhxu/spikingjelly/dataset/SHD -out-dir /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/alif__id037__tau4__vth0p3__lr0p001__a4__ig1__ls1p2__wd0__h500__L2 -b 256 -epochs 80 -j 4 -T 20 --model alif --hidden-dim 500 --num-layers 2 --lr 0.001 --weight-decay 0.0 --input-gain 1.0 --v-threshold 0.3 --v-reset 0.0 --alpha 4.0 --label-scale 1.2 --tau 4.0
dynsrm__id110__tr3__trefr8__vth0p5__lr0p0003__a8__ig0p8__ls1p5__wd0p0001__h500__L2,dynsrm,DONE,0.6703431372549019,0.6681460818014978,50297688000.0,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/dynsrm__id110__tr3__trefr8__vth0p5__lr0p0003__a8__ig0p8__ls1p5__wd0p0001__h500__L2,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/dynsrm__id110__tr3__trefr8__vth0p5__lr0p0003__a8__ig0p8__ls1p5__wd0p0001__h500__L2/SHD_dynsrm_FF_20260423_161939.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/dynsrm__id110__tr3__trefr8__vth0p5__lr0p0003__a8__ig0p8__ls1p5__wd0p0001__h500__L2/SHD_dynsrm_FF_20260423_161939_summary.json,/home/yhxu/miniconda3/envs/sj39/bin/python /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/shd_ff_train_v1.py -device <GPU> -data-dir /home/public03/yhxu/spikingjelly/dataset/SHD -out-dir /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/dynsrm__id110__tr3__trefr8__vth0p5__lr0p0003__a8__ig0p8__ls1p5__wd0p0001__h500__L2 -b 256 -epochs 80 -j 4 -T 20 --model dynsrm --hidden-dim 500 --num-layers 2 --lr 0.0003 --weight-decay 0.0001 --input-gain 0.8 --v-threshold 0.5 --v-reset 0.0 --alpha 8.0 --label-scale 1.5 --tau-response 3.0 --tau-refractory 8.0
lif__id018__tau4__vth1__lr0p0008__a8__ig1__ls1p2__wd0p0001__h384__L1,lif,DONE,0.6678921568627451,0.662929245587697,29596331520.0,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/lif__id018__tau4__vth1__lr0p0008__a8__ig1__ls1p2__wd0p0001__h384__L1,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/lif__id018__tau4__vth1__lr0p0008__a8__ig1__ls1p2__wd0p0001__h384__L1/SHD_lif_FF_20260422_003825.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/lif__id018__tau4__vth1__lr0p0008__a8__ig1__ls1p2__wd0p0001__h384__L1/SHD_lif_FF_20260422_003825_summary.json,/home/yhxu/miniconda3/envs/sj39/bin/python /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/shd_ff_train_v1.py -device <GPU> -data-dir /home/public03/yhxu/spikingjelly/dataset/SHD -out-dir /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/lif__id018__tau4__vth1__lr0p0008__a8__ig1__ls1p2__wd0p0001__h384__L1 -b 256 -epochs 80 -j 4 -T 20 --model lif --hidden-dim 384 --num-layers 1 --lr 0.0008 --weight-decay 0.0001 --input-gain 1.0 --v-threshold 1.0 --v-reset 0.0 --alpha 8.0 --label-scale 1.2 --tau 4.0
srm__id064__tr3__trefr10__vth0p7__lr0p002__a6__ig0p8__ls1p2__wd0p0001__h500__L2,srm,DONE,0.6580882352941176,0.6557180190727527,39379655500.0,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/srm__id064__tr3__trefr10__vth0p7__lr0p002__a6__ig0p8__ls1p2__wd0p0001__h500__L2,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/srm__id064__tr3__trefr10__vth0p7__lr0p002__a6__ig0p8__ls1p2__wd0p0001__h500__L2/SHD_srm_FF_20260422_223558.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/srm__id064__tr3__trefr10__vth0p7__lr0p002__a6__ig0p8__ls1p2__wd0p0001__h500__L2/SHD_srm_FF_20260422_223558_summary.json,/home/yhxu/miniconda3/envs/sj39/bin/python /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/shd_ff_train_v1.py -device <GPU> -data-dir /home/public03/yhxu/spikingjelly/dataset/SHD -out-dir /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/SHD/result/fintune/shd_ff/runs/srm__id064__tr3__trefr10__vth0p7__lr0p002__a6__ig0p8__ls1p2__wd0p0001__h500__L2 -b 256 -epochs 80 -j 4 -T 20 --model srm --hidden-dim 500 --num-layers 2 --lr 0.002 --weight-decay 0.0001 --input-gain 0.8 --v-threshold 0.7 --v-reset 0.0 --alpha 6.0 --label-scale 1.2 --tau-response 3.0 --tau-refractory 10.0
