epoch,train_loss,test_loss,train_acc,train_macro_f1,test_acc,test_macro_f1,best_test_acc,mean_total_spikes,mean_spike_rate,mean_event_synops_est,mean_dense_synops_est,mean_event_to_dense_ratio,mean_input_events,latency_mean_all,latency_mean_correct,latency_std_correct,train_speed_samples_per_s,test_speed_samples_per_s,train_time_sec,test_time_sec,epoch_time_sec,train_latency_ms_per_sample,test_latency_ms_per_sample,train_cpu_memory_mb,test_cpu_memory_mb,train_gpu_memory_allocated_mb,train_gpu_memory_reserved_mb,test_gpu_memory_allocated_mb,test_gpu_memory_reserved_mb,lr,tau_mean,tau_response_mean,tau_refractory_mean
1,0.029716818267081536,0.016220000290870666,0.8071080395299145,0.8041602094627226,0.9128,0.9123073682464495,0.9128,756.9500122070312,0.18736384809017181,996783.125,5643999.5,0.1766093224287033,1429.6419677734375,1.3946000337600708,1.3171559572219849,0.7076359391212463,3862.4604527082106,3658.0072195491225,15.534139633178711,2.7337288856506348,18.271296501159668,0.2589023272196452,0.2733728885650635,1570.32421875,1752.59765625,50.8935546875,76.0,49.53564453125,76.0,0.0009997532801828658,2.130665381749471,nan,nan
2,0.015897728303749848,0.015743125165998937,0.9164496527777778,0.9152745781639228,0.9058,0.9016259543412302,0.9128,641.032470703125,0.15867140889167786,970415.1875,5643999.5,0.171937495470047,1429.6419677734375,1.3739999532699585,1.271031141281128,0.6416763663291931,4597.576768157523,3338.4069089348764,13.050353050231934,2.995440721511841,16.049166440963745,0.21750588417053224,0.29954407215118406,1754.65234375,1767.8203125,51.14404296875,76.0,49.53564453125,76.0,0.0009990133642141358,2.320945421854655,nan,nan
3,0.01497093291204964,0.015075000332295894,0.9224592681623932,0.9213946339100968,0.9144,0.9127035661835109,0.9144,583.8679809570312,0.1445217877626419,951807.5,5643999.5,0.16864056885242462,1429.6419677734375,1.4185999631881714,1.321740984916687,0.6749354004859924,3829.179541192429,2745.4215199526097,15.669152975082397,3.642427921295166,19.319319486618042,0.26115254958470663,0.3642427921295166,1756.2734375,1762.5234375,51.14404296875,76.0,49.53564453125,76.0,0.00099778098230154,2.540245215098063,nan,nan
4,0.014612233987611392,0.01288875024318695,0.9253806089743589,0.9244823581058261,0.9317,0.9308830813471003,0.9317,559.8206176757812,0.13856945931911469,941716.5625,5643999.5,0.1668526828289032,1429.6419677734375,1.3622000217437744,1.282494306564331,0.6129505634307861,3052.306993690064,1844.4334468555392,19.657262563705444,5.421719074249268,25.083539485931396,0.3276210427284241,0.5421719074249267,1761.03125,1751.94140625,51.14404296875,76.0,49.53564453125,76.0,0.000996057350657239,2.7879393100738525,nan,nan
5,0.014487033653168533,0.013421875187754631,0.9251469017094017,0.9241666774163828,0.928,0.9274978494583651,0.9317,519.6702880859375,0.12863126397132874,925524.0625,5643999.5,0.16398370265960693,1429.6419677734375,1.3775999546051025,1.2929956912994385,0.6526095271110535,2505.0292302404237,2558.7531076165033,23.95181632041931,3.908153533935547,27.863988876342773,0.3991969386736552,0.39081535339355467,1760.89453125,1808.890625,51.14404296875,76.0,49.53564453125,76.0,0.0009938441702975688,3.0682658354441323,nan,nan
6,0.014026087795336468,0.01391000026613474,0.9282852564102564,0.9273893047362266,0.9296,0.9285559650998237,0.9317,487.89111328125,0.12076512724161148,914955.6875,5643999.5,0.16211120784282684,1429.6419677734375,1.4694000482559204,1.3856498003005981,0.6939346790313721,3791.16394714358,4111.341245016806,15.826274156570435,2.4322962760925293,18.261992931365967,0.2637712359428406,0.24322962760925293,1810.4140625,1805.984375,51.14404296875,76.0,49.53564453125,76.0,0.0009911436253643444,3.3881541093190513,nan,nan
7,0.014038399160385896,0.014030625253915787,0.9287860576923077,0.9278952267514267,0.9344,0.9339311145852196,0.9344,460.86468505859375,0.11407541483640671,903548.1875,5643999.5,0.16009004414081573,1429.6419677734375,1.389799952507019,1.3047945499420166,0.6275585889816284,4390.72950458787,3695.9427147489764,13.665155172348022,2.705669641494751,16.374147653579712,0.22775258620580038,0.2705669641494751,1774.3984375,1779.71875,51.14404296875,76.0,49.53564453125,76.0,0.0009879583809693736,3.7561314900716147,nan,nan
8,0.01366123323265113,0.012452500231564046,0.9313234508547008,0.9304917811083591,0.9423,0.9421295624824628,0.9423,441.3988037109375,0.10925713181495667,894787.5625,5643999.5,0.1585378646850586,1429.6419677734375,1.4200999736785889,1.3460681438446045,0.6283540725708008,3688.7894097378244,3879.6887853023545,16.265498876571655,2.577526330947876,18.848592519760132,0.27109164794286095,0.2577526330947876,1770.34375,1755.4609375,51.14404296875,76.0,49.53564453125,76.0,0.0009842915805643154,4.171118418375651,nan,nan
9,0.01365799885481978,0.015808125293254854,0.9318409455128205,0.9310149034050831,0.9241,0.923444872844642,0.9423,419.1387939453125,0.10374722629785538,883995.0625,5643999.5,0.1566256284713745,1429.6419677734375,1.4565999507904053,1.359160304069519,0.6472158432006836,4624.691257065333,4704.608140378742,12.973839044570923,2.125575542449951,15.105570793151855,0.21623065074284872,0.21255755424499512,1761.5,1792.9296875,51.14404296875,76.0,49.53564453125,76.0,0.0009801468428384714,4.628796418507894,nan,nan
10,0.013647774182673957,0.013750000274181365,0.9315738514957265,0.9307068034852556,0.9309,0.930229186211083,0.9423,400.7715148925781,0.09920087456703186,876425.3125,5643999.5,0.15528441965579987,1429.6419677734375,1.3954999446868896,1.3124933242797852,0.620829164981842,4590.188728554612,3955.521060161246,13.07135796546936,2.5281119346618652,15.603076696395874,0.217855966091156,0.2528111934661865,1766.9453125,1792.23828125,51.14404296875,76.0,49.53564453125,76.0,0.0009755282581475767,5.147262811660767,nan,nan
11,0.013767966507082311,0.013394375203549863,0.9304053151709402,0.9296195841852286,0.9335,0.9327047141816129,0.9423,383.40478515625,0.09490218013525009,869060.625,5643999.5,0.1539795696735382,1429.6419677734375,1.4466999769210815,1.3760043382644653,0.6753938794136047,4522.84366537581,4520.753973480597,13.265990257263184,2.2120203971862793,15.481042623519897,0.22109983762105306,0.22120203971862792,1761.79296875,1783.171875,51.14404296875,76.0,49.53564453125,76.0,0.0009704403844771127,5.73726224899292,nan,nan
12,0.01331745397645789,0.01353062524497509,0.9336939102564102,0.9328838614618109,0.9393,0.9384155256764746,0.9423,366.3190002441406,0.09067302197217941,860055.625,5643999.5,0.15238407254219055,1429.6419677734375,1.4925999641418457,1.4209517240524292,0.678450882434845,4736.662158907262,4279.781508194259,12.667147874832153,2.3365678787231445,15.007594585418701,0.21111913124720255,0.23365678787231445,1770.0625,1796.6015625,51.14404296875,76.0,49.53564453125,76.0,0.0009648882429441257,6.3793942133585615,nan,nan
13,0.013478440741021344,0.011816250243782998,0.9333099626068376,0.932564268380556,0.9493,0.9489060883397646,0.9493,378.0924987792969,0.09358725696802139,865137.4375,5643999.5,0.1532844603061676,1429.6419677734375,1.4103000164031982,1.3479405641555786,0.6603671312332153,3909.4660990636057,2553.957888079842,15.3473641872406,3.9154913425445557,19.273916006088257,0.25578940312067666,0.3915491342544556,1793.015625,1793.4296875,51.14404296875,76.0,49.53564453125,76.0,0.0009588773128419905,7.095162073771159,nan,nan
14,0.01343649863683356,0.015684375336766244,0.9321581196581197,0.931383050556257,0.9266,0.9261280890048276,0.9493,357.6980895996094,0.08853914588689804,856750.0,5643999.5,0.15179838240146637,1429.6419677734375,1.5231000185012817,1.4360026121139526,0.7101184725761414,4107.758726787639,3698.6706650096457,14.606505393981934,2.703674077987671,17.329822063446045,0.24344175656636555,0.2703674077987671,1779.50390625,1798.25390625,51.14404296875,76.0,49.53564453125,76.0,0.0009524135262330098,7.912662665049235,nan,nan
15,0.013364821430653907,0.012273750199377537,0.9335436698717948,0.9327870227648105,0.9379,0.9368918816638088,0.9493,347.8507995605469,0.08610168844461441,850498.5625,5643999.5,0.15069074928760529,1429.6419677734375,1.40339994430542,1.334150791168213,0.6509952545166016,3685.315333240519,3577.079931025525,16.280832052230835,2.795576333999634,19.079710006713867,0.2713472008705139,0.27955763339996337,1775.4765625,1837.19921875,51.14404296875,76.0,49.53564453125,76.0,0.0009455032620941839,8.824706554412842,nan,nan
16,0.013171282588926136,0.011575000190734864,0.9349959935897436,0.9342893573445993,0.9397,0.9391275419747469,0.9493,334.3304138183594,0.08275505155324936,845997.6875,5643999.5,0.14989326894283295,1429.6419677734375,1.43149995803833,1.3688411712646484,0.6659601330757141,3662.065982811394,3050.9354360033753,16.384194135665894,3.2776832580566406,19.67060089111328,0.27306990226109823,0.32776832580566406,1806.6328125,1796.5,51.14404296875,76.0,49.53564453125,76.0,0.0009381533400219318,9.85445729891459,nan,nan
17,0.013035335919310331,0.013170000219345094,0.9360476762820513,0.935337955339163,0.9395,0.93847173813688,0.9493,347.01470947265625,0.08589472621679306,849582.1875,5643999.5,0.15052837133407593,1429.6419677734375,1.4607000350952148,1.3904204368591309,0.6747903227806091,2735.174005496558,3056.429075799631,21.936447143554688,3.271791934967041,25.212154865264893,0.36560745239257814,0.3271791934967041,1778.7578125,1801.62890625,51.14404296875,76.0,49.53564453125,76.0,0.0009303710135019719,11.017235279083252,nan,nan
18,0.013328930684444932,0.014921250246465206,0.9345452724358975,0.9338151150062618,0.932,0.9312339272607097,0.9493,340.57330322265625,0.08430032432079315,848446.0625,5643999.5,0.15032710134983063,1429.6419677734375,1.5276999473571777,1.456866979598999,0.7229129076004028,3833.584817301504,4757.100370718438,15.65114712715149,2.102120876312256,17.75652313232422,0.2608524521191915,0.2102120876312256,1797.6875,1806.734375,51.14404296875,76.0,49.53564453125,76.0,0.0009221639627510076,12.33759609858195,nan,nan
19,0.013057454622501874,0.0145031252682209,0.9360476762820513,0.9353523226029669,0.9331,0.9326522319394964,0.9493,322.7156066894531,0.07988010346889496,841198.0,5643999.5,0.14904287457466125,1429.6419677734375,1.5489000082015991,1.477976679801941,0.7352467179298401,4553.08826597661,3154.1748012634134,13.177868843078613,3.1704013347625732,16.35179829597473,0.21963114738464357,0.3170401334762573,1784.3359375,1793.1796875,51.14404296875,76.0,49.53564453125,76.0,0.000913540287137281,13.84480849901835,nan,nan
20,0.013127671146733511,0.011865000209212303,0.9352964743589743,0.9345731003939862,0.9397,0.9391500827706081,0.9493,325.94439697265625,0.08067930489778519,841936.625,5643999.5,0.14917375147342682,1429.6419677734375,1.3986999988555908,1.3275513648986816,0.6410620808601379,4328.963926470332,4424.929091800074,13.860129356384277,2.259923219680786,16.130753755569458,0.23100215593973797,0.2259923219680786,1780.8046875,1804.0,51.14404296875,76.0,49.53564453125,76.0,0.0009045084971874739,15.551113764444986,nan,nan
21,0.013059958651399192,0.012676875185966491,0.9348791399572649,0.9341268055299661,0.939,0.9388274246617124,0.9493,320.41448974609375,0.07931052893400192,841290.0,5643999.5,0.14905917644500732,1429.6419677734375,1.4867000579833984,1.4298189878463745,0.7300962805747986,4609.551953765098,3285.1151911780453,13.016449451446533,3.0440332889556885,16.06428074836731,0.21694082419077557,0.30440332889556887,1808.0546875,1803.51171875,51.14404296875,76.0,49.53564453125,76.0,0.0008950775061878452,17.41430115699768,nan,nan
22,0.01289438120284492,0.014692500284314156,0.936965811965812,0.9362787819913783,0.9266,0.9262249953206823,0.9493,314.5184020996094,0.07785108685493469,836351.8125,5643999.5,0.14818423986434937,1429.6419677734375,1.4879000186920166,1.4029786586761475,0.6863723993301392,4393.825185049234,4628.701630732086,13.655527353286743,2.160433053970337,15.823724031448364,0.22759212255477906,0.2160433053970337,1775.8671875,1793.50390625,51.14404296875,76.0,49.53564453125,76.0,0.0008852566213878947,19.50191044807434,nan,nan
23,0.012679141020784393,0.013259375257045031,0.938651842948718,0.9380342821792127,0.9399,0.939533114916393,0.9493,318.0409851074219,0.07872302085161209,838272.9375,5643999.5,0.14852462708950043,1429.6419677734375,1.454699993133545,1.3822747468948364,0.6542752385139465,5052.711010435429,4017.4825409262144,11.874813318252563,2.4891209602355957,14.375100374221802,0.1979135553042094,0.24891209602355957,1780.16796875,1807.72265625,51.14404296875,76.0,49.53564453125,76.0,0.0008750555348152298,21.858782132466633,nan,nan
