epoch,train_loss,test_loss,train_acc,train_macro_f1,test_acc,test_macro_f1,best_test_acc,mean_total_spikes,mean_spike_rate,mean_event_synops_est,mean_dense_synops_est,mean_event_to_dense_ratio,mean_input_events,latency_mean_all,latency_mean_correct,latency_std_correct,train_speed_samples_per_s,test_speed_samples_per_s,train_time_sec,test_time_sec,epoch_time_sec,train_latency_ms_per_sample,test_latency_ms_per_sample,train_cpu_memory_mb,test_cpu_memory_mb,train_gpu_memory_allocated_mb,train_gpu_memory_reserved_mb,test_gpu_memory_allocated_mb,test_gpu_memory_reserved_mb,lr,tau_mean,tau_response_mean,tau_refractory_mean
1,0.029733303018933177,0.013880000199377537,0.8064569978632479,0.8032774498336657,0.9223,0.9212690863168342,0.9223,748.0537109375,0.18516181409358978,985889.5,5643999.5,0.1746792197227478,1429.6419677734375,1.3388999700546265,1.265965461730957,0.6612348556518555,3480.0335034734894,2293.6830182636995,17.24121332168579,4.359800338745117,21.604435920715332,0.28735355536142987,0.43598003387451173,1658.671875,1839.359375,50.3876953125,74.0,49.52978515625,74.0,0.0009997532801828658,nan,nan,nan
2,0.015838675478544947,0.0152150002643466,0.9175013354700855,0.9163442405928934,0.9137,0.9119334014933473,0.9223,585.650390625,0.14496298134326935,949248.125,5643999.5,0.16818711161613464,1429.6419677734375,1.4003000259399414,1.312465786933899,0.6643660664558411,3772.38754002531,2474.2425187166655,15.905046701431274,4.041640996932983,19.950000524520874,0.26508411169052126,0.40416409969329836,1846.1796875,1855.1328125,50.63818359375,74.0,49.52978515625,74.0,0.0009990133642141358,nan,nan,nan
3,0.015320867819425005,0.012996875211596488,0.9202724358974359,0.9192141699039447,0.9348,0.9345260341850498,0.9348,576.769287109375,0.14276468753814697,941515.25,5643999.5,0.16681700944900513,1429.6419677734375,1.3020000457763672,1.2409071922302246,0.6268726587295532,3445.5616348555377,2162.0703235344454,17.41370677947998,4.62519645690918,22.042202711105347,0.2902284463246663,0.46251964569091797,1855.1796875,1863.53515625,50.63818359375,74.0,49.52978515625,74.0,0.00099778098230154,nan,nan,nan
4,0.014963733902973179,0.012338750211894511,0.9246461004273504,0.9236681160094575,0.94,0.9392054357994006,0.94,527.5689086914062,0.13058637082576752,928301.5625,5643999.5,0.16447581350803375,1429.6419677734375,1.3336000442504883,1.2678723335266113,0.6535905003547668,3826.140632252648,2245.636397960463,15.68159818649292,4.453080654144287,20.138113021850586,0.261359969774882,0.4453080654144287,1854.375,1849.80859375,50.63818359375,74.0,49.52978515625,74.0,0.000996057350657239,nan,nan,nan
5,0.015083404543459352,0.01377000018954277,0.9215912126068376,0.9205463826367332,0.9291,0.9283281698894787,0.94,507.5538024902344,0.1256321221590042,922460.0625,5643999.5,0.16344083845615387,1429.6419677734375,1.3580000400543213,1.2841459512710571,0.6812410950660706,3254.118497473269,2162.5925924971107,18.438173055648804,4.624079465866089,23.066818952560425,0.30730288426081337,0.4624079465866089,1854.35546875,1858.4296875,50.63818359375,74.0,49.52978515625,74.0,0.0009938441702975688,nan,nan,nan
6,0.014824448523517603,0.014537500257790088,0.9238448183760684,0.9228789963674779,0.9295,0.9290634356087726,0.94,479.67388916015625,0.11873117834329605,914015.25,5643999.5,0.16194458305835724,1429.6419677734375,1.4241000413894653,1.3498655557632446,0.714277446269989,2910.5734229432906,2239.6690869786194,20.614494562149048,4.464945316314697,25.083030700683594,0.3435749093691508,0.44649453163146974,1854.2109375,1859.59375,50.63818359375,74.0,49.52978515625,74.0,0.0009911436253643444,nan,nan,nan
7,0.01472470561404609,0.014241875199973584,0.9244958600427351,0.9235315658653258,0.9254,0.9256509247498576,0.94,479.0459899902344,0.11857575923204422,911421.5625,5643999.5,0.16148503124713898,1429.6419677734375,1.323699951171875,1.2344931364059448,0.6103308796882629,3472.8105843329636,3129.704149482461,17.277072429656982,3.195190191268921,20.476517915725708,0.2879512071609497,0.31951901912689207,1851.58203125,1868.83203125,50.63818359375,74.0,49.52978515625,74.0,0.0009879583809693736,nan,nan,nan
8,0.014374249045633607,0.014550000295042992,0.9267160790598291,0.9258384579463182,0.9342,0.93379809654035,0.94,438.58709716796875,0.10856117308139801,896473.5,5643999.5,0.15883654356002808,1429.6419677734375,1.3431999683380127,1.2649325132369995,0.6465569734573364,3215.8987499285026,2628.575597030088,18.65730381011963,3.8043417930603027,22.466546058654785,0.3109550635019938,0.3804341793060303,1842.10546875,1858.55078125,50.63818359375,74.0,49.52978515625,74.0,0.0009842915805643154,nan,nan,nan
9,0.014494650020128768,0.013124375195801258,0.9281183226495726,0.9272305590082016,0.9373,0.9369688403253422,0.94,429.19329833984375,0.10623595863580704,892933.4375,5643999.5,0.15820932388305664,1429.6419677734375,1.344099998474121,1.267897129058838,0.6235458254814148,4234.9265447308035,2293.829657155292,14.167896270751953,4.3595216274261475,18.530694007873535,0.23613160451253254,0.4359521627426147,1862.5546875,1868.62109375,50.63818359375,74.0,49.52978515625,74.0,0.0009801468428384714,nan,nan,nan
10,0.014509152387205161,0.013188125285506249,0.9277510683760684,0.9269151505813282,0.9315,0.9307691858068596,0.94,427.0762023925781,0.1057119369506836,891683.8125,5643999.5,0.15798792243003845,1429.6419677734375,1.330199956893921,1.2575416564941406,0.6567015051841736,3858.5813749546633,2392.478465118977,15.549756288528442,4.179765939712524,19.732341289520264,0.2591626048088074,0.4179765939712524,1859.578125,1872.203125,50.63818359375,74.0,49.52978515625,74.0,0.0009755282581475767,nan,nan,nan
