epoch,train_acc,train_macro_f1,test_acc,test_macro_f1,best_test_acc,mean_total_spikes,mean_spike_rate,mean_event_synops_est,mean_dense_synops_est,mean_event_to_dense_ratio,mean_input_events,latency_mean_all,latency_mean_correct,latency_std_correct,train_speed_samples_per_s,test_speed_samples_per_s,train_time_sec,test_time_sec,epoch_time_sec,train_latency_ms_per_sample,test_latency_ms_per_sample,train_cpu_memory_mb,test_cpu_memory_mb,train_gpu_memory_allocated_mb,train_gpu_memory_reserved_mb,test_gpu_memory_allocated_mb,test_gpu_memory_reserved_mb,lr,layer_0_loss,layer_1_loss
1,0.8152378627232143,0.8044636725369501,0.81,0.7985765999822413,0.81,1718.92822265625,0.2148660123348236,1673282.75,11248001.0,0.14876270294189453,1749.823974609375,2.7100000381469727,2.451111078262329,1.8533133268356323,3610.806410223391,1983.8144956666208,16.61678671836853,5.0407938957214355,35.5904803276062,0.27694644530614215,0.5040793895721436,5092.26953125,5077.609375,2784.408203125,3148.0,2374.6640625,3726.0,0.001,1.32876917719841,-0.020739689232349128
2,0.8717738560267857,0.8698747668645279,0.8645,0.8624035905650729,0.8645,1866.9395751953125,0.2333674281835556,1765322.5,11248001.0,0.15694546699523926,1749.823974609375,2.9783999919891357,2.8430306911468506,2.053196430206299,3986.124085587495,1972.0060321897013,15.052215814590454,5.070978403091431,34.448755979537964,0.25087026357650755,0.5070978403091431,5116.734375,5082.41796875,2784.544921875,3726.0,2374.6640625,3726.0,0.001,0.09772075579634734,-0.07166492885776929
3,0.9084821428571429,0.9074591092116245,0.9036,0.9023458567919544,0.9036,1936.27294921875,0.24203413724899292,1811293.625,11248001.0,0.1610325127840042,1749.823974609375,2.8887999057769775,2.6568171977996826,1.900781273841858,4699.141811497666,1626.0523554785948,12.768288850784302,6.1498634815216064,33.66200876235962,0.21280481417973837,0.6149863481521607,5279.09765625,5086.40234375,2784.544921875,3726.0,2374.6640625,3726.0,0.001,0.019317106110975146,-0.12883908408028738
4,0.9082205636160714,0.9073034064015154,0.902,0.9013974010872777,0.9036,1989.0501708984375,0.2486312985420227,1844206.625,11248001.0,0.1639586091041565,1749.823974609375,3.4168999195098877,3.215299367904663,1.9900497198104858,4492.512165535253,1929.8810107996946,13.35555648803711,5.181666612625122,32.648329734802246,0.22259260813395182,0.5181666612625122,5086.40234375,5162.1328125,2784.544921875,3726.0,2374.6640625,3726.0,0.001,-0.015733926623527492,-0.1687568181327411
5,0.8894217354910714,0.8881544085292541,0.8888,0.8877179082874272,0.9036,2048.858642578125,0.2561073303222656,1878893.625,11248001.0,0.16704244911670685,1749.823974609375,3.938699960708618,3.7009451389312744,2.091384172439575,4364.47744893798,2025.4532830512608,13.747350215911865,4.937166452407837,32.63445544242859,0.2291225035985311,0.4937166452407837,5085.9609375,5085.95703125,2784.544921875,3726.0,2374.6640625,3726.0,0.001,-0.05900785965578897,-0.1831018477678299
6,0.8667689732142857,0.8648275061031331,0.8744,0.8729774311647087,0.9036,2107.536865234375,0.26344212889671326,1911570.875,11248001.0,0.16994762420654297,1749.823974609375,3.984600067138672,3.7098581790924072,2.1968255043029785,4198.4374316253925,2058.2340865969895,14.291031122207642,4.85853385925293,32.03009033203125,0.238183852036794,0.485853385925293,5235.37890625,5084.49609375,2784.544921875,3726.0,2374.6640625,3726.0,0.001,-0.11312324766601835,-0.18988300753491266
7,0.8960484095982143,0.8946166600911754,0.897,0.8957550756714012,0.9036,2168.310791015625,0.27103883028030396,1937250.875,11248001.0,0.17223070561885834,1749.823974609375,3.7553000450134277,3.5531773567199707,2.187150478363037,3626.7857714172233,1426.673756660092,16.543574333190918,7.009310960769653,38.12774443626404,0.2757262388865153,0.7009310960769654,5084.37109375,5084.6640625,2784.544921875,3726.0,2374.6640625,3726.0,0.001,-0.16641039614166533,-0.19771951330559595
8,0.912841796875,0.9117183469321052,0.9093,0.9080858463896064,0.9093,2193.86328125,0.27423295378685,1952840.75,11248001.0,0.1736166775226593,1749.823974609375,3.5499000549316406,3.3652260303497314,2.1812233924865723,3595.4201404826736,2233.1052330737143,16.687896728515625,4.478069305419922,35.63103437423706,0.2781316121419271,0.44780693054199217,5348.0234375,5084.703125,2784.544921875,3726.0,2374.6640625,3726.0,0.001,-0.1991066677229745,-0.20026797269071853
9,0.9229910714285714,0.9220940289087265,0.9202,0.9192373657780013,0.9202,2207.501220703125,0.27593764662742615,1961656.375,11248001.0,0.1744004637002945,1749.823974609375,3.3726999759674072,3.2178874015808105,2.1510584354400635,4125.480195335296,1761.3684967263555,14.543761491775513,5.677403688430786,33.345871925354004,0.24239602486292522,0.5677403688430787,5084.703125,5084.68359375,2784.544921875,3726.0,2374.6640625,3726.0,0.001,-0.22085216428552354,-0.19869155756064824
10,0.9330705915178571,0.9323276322518081,0.9279,0.9271644212874189,0.9279,2228.468505859375,0.27855855226516724,1965776.75,11248001.0,0.17476676404476166,1749.823974609375,3.2451999187469482,3.093005657196045,2.0987768173217773,4154.17446694063,2255.7848836365047,14.443302869796753,4.433046817779541,33.32641673088074,0.24072171449661256,0.4433046817779541,5280.1328125,5086.4296875,2784.544921875,3726.0,2374.6640625,3726.0,0.001,-0.2319052911230496,-0.19809255323239736
11,0.9408656529017857,0.9402836767266418,0.9365,0.9358504521849016,0.9365,2222.677978515625,0.2778347134590149,1967945.125,11248001.0,0.17495954036712646,1749.823974609375,3.1466000080108643,3.015376329421997,2.1057920455932617,4464.134598058508,2439.146428084183,13.440454959869385,4.099794864654541,31.903695821762085,0.22400758266448975,0.4099794864654541,5190.64453125,5085.91796875,2784.544921875,3726.0,2374.6640625,3726.0,0.001,-0.2384765903864588,-0.1982586532831192
12,0.9433419363839286,0.9427195083127161,0.9337,0.9329014909835804,0.9365,2223.760009765625,0.27796995639801025,1968604.75,11248001.0,0.17501817643642426,1749.823974609375,3.05679988861084,2.912498712539673,2.0491316318511963,4450.864043333884,1897.3006860230687,13.480528593063354,5.2706458568573,33.96619200706482,0.2246754765510559,0.52706458568573,5085.99609375,5088.23046875,2784.544921875,3726.0,2374.6640625,3726.0,0.001,-0.24252374363797052,-0.19835653794663294
