epoch,train_acc,train_macro_f1,test_acc,test_macro_f1,best_test_acc,mean_total_spikes,mean_spike_rate,mean_event_synops_est,mean_dense_synops_est,mean_event_to_dense_ratio,mean_input_events,latency_mean_all,latency_mean_correct,latency_std_correct,train_speed_samples_per_s,test_speed_samples_per_s,train_time_sec,test_time_sec,epoch_time_sec,train_latency_ms_per_sample,test_latency_ms_per_sample,train_cpu_memory_mb,test_cpu_memory_mb,train_gpu_memory_allocated_mb,train_gpu_memory_reserved_mb,test_gpu_memory_allocated_mb,test_gpu_memory_reserved_mb,lr,layer_0_loss,layer_1_loss
1,0.7551967075892857,0.7396183826789186,0.7551,0.7404486707359333,0.7551,1505.08154296875,0.3762704133987427,1469227.375,5624000.5,0.26124241948127747,1433.6419677734375,1.6784000396728516,1.4930472373962402,0.9291826486587524,5930.659160635947,2781.4952324754295,10.11691927909851,3.595188617706299,22.537599325180054,0.1686153213183085,0.35951886177062986,2428.1484375,2510.703125,1282.142578125,1544.0,1199.7734375,1836.0,0.001,0.37852131814828943,-0.0014607488140297522
2,0.7814418247767857,0.77658853354309,0.7911,0.7860740478129344,0.7911,1780.572021484375,0.4451429545879364,1607095.125,5624000.5,0.28575658798217773,1433.6419677734375,1.7329000234603882,1.5135886669158936,0.8887198567390442,5959.505015197957,3410.3018613906274,10.067950248718262,2.9322917461395264,22.81000518798828,0.16779917081197102,0.29322917461395265,2513.203125,2512.78515625,1283.029296875,1836.0,1199.7734375,1836.0,0.001,-0.13541193625756673,-0.003922498635282474
3,0.8648507254464286,0.8620857697152509,0.8653,0.8622634402051137,0.8653,1801.1102294921875,0.45027753710746765,1617136.875,5624000.5,0.2875421345233917,1433.6419677734375,1.7496000528335571,1.6375823020935059,0.9346778988838196,6098.860836017023,3081.2256982632007,9.837902784347534,3.2454617023468018,22.773363828659058,0.16396504640579224,0.3245461702346802,2584.42578125,2512.87109375,1283.029296875,1836.0,1199.7734375,1836.0,0.001,-0.21001999293054854,-0.0066577848712248465
4,0.8868756975446429,0.8863324924117032,0.8927,0.8920076844931095,0.8927,1805.5601806640625,0.45139002799987793,1618956.625,5624000.5,0.28786569833755493,1433.6419677734375,1.6105999946594238,1.5212277173995972,0.8455053567886353,6448.783752825815,3521.3624754072403,9.30408000946045,2.8398098945617676,22.399929761886597,0.15506800015767416,0.2839809894561768,2595.25390625,2515.17578125,1283.029296875,1836.0,1199.7734375,1836.0,0.001,-0.2291440569928714,-0.01252493994044406
5,0.9140450613839286,0.9133185772510444,0.9171,0.9163354187179985,0.9171,1798.465576171875,0.449616402387619,1615598.125,5624000.5,0.2872685194015503,1433.6419677734375,1.5782999992370605,1.5038708448410034,0.8438565135002136,6331.843346191516,3766.323818951551,9.475913524627686,2.65510892868042,20.85549831390381,0.1579318920771281,0.26551089286804197,2515.7109375,2515.25390625,1283.029296875,1836.0,1199.7734375,1836.0,0.001,-0.23758179268666677,-0.021362702628331526
6,0.9232003348214286,0.9228564793698218,0.9261,0.9255754418598017,0.9261,1793.174560546875,0.44829365611076355,1612598.5,5624000.5,0.2867351472377777,1433.6419677734375,1.5583000183105469,1.4923874139785767,0.8348520994186401,6859.376163095007,3286.939437789149,8.747151136398315,3.042343854904175,20.591094493865967,0.14578585227330526,0.3042343854904175,2515.53125,2516.67578125,1283.029296875,1836.0,1199.7734375,1836.0,0.001,-0.24243346069540297,-0.03319369801985366
7,0.9302106584821429,0.929998383763001,0.9305,0.9301861454055909,0.9305,1787.3759765625,0.4468439519405365,1609582.75,5624000.5,0.2861989140510559,1433.6419677734375,1.5535999536514282,1.4955400228500366,0.834381103515625,6522.513260173511,2884.3267321605736,9.19890809059143,3.4670135974884033,20.82369899749756,0.1533151348431905,0.3467013597488403,2602.01171875,2516.265625,1283.029296875,1836.0,1199.7734375,1836.0,0.001,-0.24593280255794525,-0.04286631542657103
8,0.9341343470982143,0.9339400816220257,0.9373,0.9370507218323192,0.9373,1781.8675537109375,0.44546690583229065,1606723.25,5624000.5,0.28569045662879944,1433.6419677734375,1.5351999998092651,1.487357258796692,0.8322266936302185,6962.617130127815,3734.4052691719853,8.617449283599854,2.677802562713623,22.765618562698364,0.14362415472666423,0.2677802562713623,2516.28125,2515.15625,1283.029296875,1836.0,1199.7734375,1836.0,0.001,-0.24800044191735132,-0.05109557935169765
9,0.9388253348214286,0.9387253349131823,0.9384,0.9382729378905059,0.9384,1779.929443359375,0.4449823796749115,1605339.375,5624000.5,0.285444438457489,1433.6419677734375,1.551900029182434,1.5026640892028809,0.8277691602706909,5279.722896318554,2762.187433300544,11.364232778549194,3.620319128036499,25.302088737487793,0.18940387964248656,0.3620319128036499,2659.0546875,2514.87890625,1283.029296875,1836.0,1199.7734375,1836.0,0.001,-0.24981243163347244,-0.05965894567114966
10,0.9446149553571429,0.944453806942953,0.9457,0.9454702008980694,0.9457,1775.7945556640625,0.4439486265182495,1602636.25,5624000.5,0.2849637567996979,1433.6419677734375,1.5074000358581543,1.4586020708084106,0.7950653433799744,5131.271111767211,2182.4627218260007,11.6930091381073,4.581979751586914,26.672990798950195,0.19488348563512167,0.45819797515869143,2515.6640625,2513.47265625,1283.029296875,1836.0,1199.7734375,1836.0,0.001,-0.2508985048958233,-0.06820676741855485
11,0.9465855189732143,0.9464110021118357,0.947,0.9468603799122871,0.947,1774.91455078125,0.44372862577438354,1601995.625,5624000.5,0.2848498523235321,1433.6419677734375,1.517799973487854,1.4746568202972412,0.8105310797691345,5143.48199611336,2475.633832012855,11.665249347686768,4.039369583129883,26.614675045013428,0.19442082246144612,0.40393695831298826,2549.5,2514.49609375,1283.029296875,1836.0,1199.7734375,1836.0,0.001,-0.25188049248286654,-0.07794347937617983
