epoch,train_acc,train_macro_f1,test_acc,test_macro_f1,best_test_acc,mean_total_spikes,mean_spike_rate,mean_event_synops_est,mean_dense_synops_est,mean_event_to_dense_ratio,mean_input_events,latency_mean_all,latency_mean_correct,latency_std_correct,train_speed_samples_per_s,test_speed_samples_per_s,train_time_sec,test_time_sec,epoch_time_sec,train_latency_ms_per_sample,test_latency_ms_per_sample,train_cpu_memory_mb,test_cpu_memory_mb,train_gpu_memory_allocated_mb,train_gpu_memory_reserved_mb,test_gpu_memory_allocated_mb,test_gpu_memory_reserved_mb,lr,layer_0_loss,layer_1_loss
1,0.7757568359375,0.7604739540064259,0.7769,0.7622632300837954,0.7769,1216.77685546875,0.30419421195983887,1299358.75,5624000.5,0.2310381531715393,1433.6419677734375,1.6081000566482544,1.4825588464736938,0.9059156179428101,5831.650343794251,3144.100534960591,10.288682699203491,3.1805598735809326,23.094210863113403,0.17147804498672486,0.31805598735809326,2500.19921875,2452.26953125,1315.107421875,1564.0,1232.73828125,1856.0,0.001,2.2128483397620067,-0.00990760896820575
2,0.8869977678571429,0.8842447496012505,0.8898,0.8872134244661739,0.8898,1340.1468505859375,0.3350366950035095,1370078.75,5624000.5,0.2436128705739975,1433.6419677734375,1.6389000415802002,1.554394245147705,0.8949154019355774,5280.784924103452,3362.1343853683848,11.361947298049927,2.9743010997772217,23.28952670097351,0.18936578830083212,0.2974301099777222,2456.0390625,2456.30078125,1314.494140625,1856.0,1231.98828125,1856.0,0.001,0.21617085859179497,-0.03910906586263861
3,0.8929966517857143,0.8924704335187904,0.8978,0.8967772596234548,0.8978,1395.5728759765625,0.3488932251930237,1405120.5,5624000.5,0.24984362721443176,1433.6419677734375,1.698799967765808,1.5905547142028809,0.8883342742919922,6475.12385954456,2484.833336581827,9.266232013702393,4.024414777755737,24.325434923171997,0.1544372002283732,0.4024414777755737,2583.21875,2459.65234375,1314.494140625,1856.0,1231.98828125,1856.0,0.001,0.0735875235072204,-0.0832477728171008
4,0.9194510323660714,0.9183082468322306,0.9168,0.9159076141694937,0.9168,1435.3033447265625,0.3588258624076843,1427841.5,5624000.5,0.25388363003730774,1433.6419677734375,1.8025000095367432,1.7334206104278564,0.9275970458984375,4999.260713706571,2425.0067255236468,12.001774549484253,4.123699903488159,27.55072522163391,0.20002957582473754,0.41236999034881594,2460.76171875,2460.76953125,1314.494140625,1856.0,1231.98828125,1856.0,0.001,0.026379638418023075,-0.13365469606859343
5,0.9076276506696429,0.9067904789242467,0.8984,0.8977893964675514,0.9168,1474.064453125,0.3685160279273987,1447964.625,5624000.5,0.25746169686317444,1433.6419677734375,1.9966000318527222,1.9146260023117065,0.9435018301010132,5335.610011884462,2264.184025412301,11.24519968032837,4.41660213470459,26.691347122192383,0.1874199946721395,0.441660213470459,2460.71484375,2461.8359375,1314.494140625,1856.0,1231.98828125,1856.0,0.001,-0.0041927237429523045,-0.16969903877803258
6,0.8869105747767857,0.884603294778233,0.8764,0.8741191916157321,0.9168,1527.246826171875,0.3818117082118988,1472711.875,5624000.5,0.2618619501590729,1433.6419677734375,2.259399890899658,2.1687586307525635,0.9672528505325317,5443.295800876505,2398.4662822612936,11.022733688354492,4.169331073760986,26.070695877075195,0.18371222813924154,0.4169331073760986,2593.296875,2462.7109375,1314.494140625,1856.0,1231.98828125,1856.0,0.001,-0.04390395352882998,-0.18043496353285654
7,0.8549281529017857,0.8521493198849196,0.848,0.8449703850812227,0.9168,1579.35986328125,0.39483994245529175,1497887.875,5624000.5,0.2663384974002838,1433.6419677734375,2.520900011062622,2.4362027645111084,0.9948858618736267,4638.698763457223,1922.905425125225,12.934661865234375,5.200463771820068,31.620466947555542,0.21557769775390626,0.5200463771820069,2590.734375,2460.58984375,1314.494140625,1856.0,1231.98828125,1856.0,0.001,-0.09133855306676456,-0.18113145232200623
8,0.8562186104910714,0.8546035596791028,0.8414,0.8397774787420615,0.9168,1620.654296875,0.4051634967327118,1519018.375,5624000.5,0.27009570598602295,1433.6419677734375,2.611999988555908,2.530306577682495,0.9923508167266846,5474.658447645673,2275.4917301853025,10.959587812423706,4.3946545124053955,25.35228443145752,0.18265979687372844,0.43946545124053954,2460.6015625,2462.1328125,1314.494140625,1856.0,1231.98828125,1856.0,0.001,-0.14285837007420404,-0.18119928879397257
9,0.8892473493303571,0.8879907442590447,0.8756,0.8742461257583907,0.9168,1650.79296875,0.41269823908805847,1534434.875,5624000.5,0.27283692359924316,1433.6419677734375,2.498500108718872,2.4363865852355957,0.9845522046089172,5602.708340457545,2730.2292256429487,10.7091064453125,3.662696123123169,25.36959218978882,0.178485107421875,0.3662696123123169,2462.1875,2462.33203125,1314.494140625,1856.0,1231.98828125,1856.0,0.001,-0.17972968838044576,-0.18271755746432713
10,0.9039481026785714,0.9029733273711779,0.8937,0.8924691986122693,0.9168,1672.91845703125,0.4182295799255371,1544952.25,5624000.5,0.27470701932907104,1433.6419677734375,2.4217000007629395,2.36130690574646,1.0005223751068115,5144.739380309497,3216.7268717497136,11.662398338317871,3.108750104904175,26.000121355056763,0.19437330563863117,0.3108750104904175,2462.671875,2461.859375,1314.494140625,1856.0,1231.98828125,1856.0,0.001,-0.20520374604633876,-0.18076409612383162
